16:48:13:677	0	0	0	1.511577	0.9789873	0	3	16	0	6453	-0.6487356	-0.137717	124.2342	
16:48:13:864	0	0	0	1.511577	0.9789873	0	3	17	0	6453	-0.6574753	-0.1263784	124.228	
16:48:14:67	0	0	0	1.511577	0.9789873	0	3	18	0	6453	-0.6580561	-0.1271479	124.2248	
16:48:14:270	0	0	0	1.511577	0.9789873	0	3	19	0	6453	-0.6564418	-0.1347645	124.2103	
16:48:14:473	0	0	0	1.511577	0.9789873	0	3	20	0	6453	-0.6533619	-0.1205493	124.2053	
16:48:14:674	0	0	0	0.4235141	-29.1281	0	3	21	0	6453	-0.650214	-0.1134911	124.2092	
16:48:14:876	0	0	0	0.4235141	-29.1281	0	3	22	0	6453	-0.6462568	-0.1262189	124.2351	
16:48:15:68	0	0	0	0.4235141	-29.1281	0	3	23	0	6453	-0.6489503	-0.1315106	124.2479	
16:48:15:271	0	0	0	0.4235141	-29.1281	0	3	23	0	6453	-0.6432363	-0.1323152	124.2576	
16:48:15:472	0	0	0	0.4235141	-29.1281	0	3	24	0	6453	-0.6354196	-0.1183494	124.257	
16:48:15:672	0	0	0	1.679156	50.82823	0	3	25	0	6453	-0.6318851	-0.122096	124.263	
16:48:15:872	0	0	0	1.679156	50.82823	0	3	26	0	6453	-0.6210081	-0.1212202	124.2748	
16:48:16:83	0	0	0	1.679156	50.82823	0	3	27	0	6453	-0.6221614	-0.09890277	124.293	
16:48:16:284	0	0	0	1.679156	50.82823	0	3	27	0	6453	-0.6169057	-0.08848429	124.2917	
16:48:16:484	0	0	0	1.679156	50.82823	0	3	28	0	6453	-0.6222822	-0.08939192	124.2967	
16:48:16:674	0	0	0	2.159477	65.21603	0	3	29	0	6453	-0.6226586	-0.08776463	124.3007	
16:48:16:881	0	0	0	2.159477	65.21603	0	3	30	0	6453	-0.6192019	-0.07841337	124.3145	
16:48:17:81	0	0	0	2.159477	65.21603	0	3	31	0	6453	-0.6163482	-0.08536851	124.327	
16:48:17:283	0	0	0	2.159477	65.21603	0	3	31	0	6453	-0.6084943	-0.05741217	124.3237	
16:48:17:484	0	0	0	2.159477	65.21603	0	3	32	0	6453	-0.6176494	-0.05086766	124.3219	
16:48:17:686	0	0	0	2.254241	55.612	0	3	33	0	6453	-0.6126346	-0.01664728	124.2882	
16:48:17:885	0	0	0	2.254241	55.612	0	3	34	0	6453	-0.612147	-0.007967789	124.2945	
16:48:18:81	0	0	0	2.254241	55.612	0	3	35	0	6453	-0.614339	-0.00399414	124.2831	
16:48:18:284	0	0	0	2.254241	55.612	0	3	35	0	6453	-0.608454	-0.01739577	124.2515	
