Date	Latitude(deg)	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)	Rollrate(dps)	Pitchrate(dps)	Yawrate(dps)	accelX(m/s/s)	accelY(m/s/s)	accelZ(m/s/s)	vgN(mps)	vgE(mps)	vgD(mps)	Aileron(unit)	Elevator(unit)	Rudder(unit)	Throttle(unit)
17:57:24:982	47.01295	-121.589	1502.569	1502.569	0	0	0	0	0	0	36.30017	-71.11801	131.0919	-457.5229	-115.9279	-100.0033	1.000811	-793.5497	-2441.107	7.536783	-7.383978	19.29465	-3	-3	-3	0	
17:57:25:1	47.01295	-121.589	1502.569	1502.569	0	0	0	0	0	0	30.03252	-70.56267	79.37566	-558.5619	-85.79256	-146.5974	535.8177	-593.8673	-3290.177	7.536783	-7.383978	19.29465	-3	-3	-3	0	
17:57:25:38	47.01296	-121.589	1500.6	1500.6	0	0	0	0	0	0	30.03252	-70.56267	79.37566	-558.5619	-85.79256	-146.5974	535.8177	-593.8673	-3290.177	5.745677	-8.549259	19.29009	-3	-3	-3	0	
17:57:25:85	47.01296	-121.589	1500.6	1500.6	0	0	0	0	0	0	30.03252	-70.56267	79.37566	-558.5619	-85.79256	-146.5974	535.8177	-593.8673	-3290.177	5.745677	-8.549259	19.29009	-3	-3	-3	0	
17:57:25:100	47.01296	-121.589	1500.6	1500.6	0	0	0	0	0	0	30.03252	-70.56267	79.37566	-558.5619	-85.79256	-146.5974	535.8177	-593.8673	-3290.177	5.745677	-8.549259	19.29009	-3	-3	-3	0	
17:57:25:146	47.01296	-121.589	1500.6	1500.6	0	0	0	0	0	0	15.49597	-66.73566	34.64985	-558.5619	-27.93002	-156.9723	704.8126	-63.46989	-3627.322	5.745677	-8.549259	19.29009	-3	-3	-3	0	
17:57:25:180	47.01296	-121.589	1500.6	1500.6	0	0	0	0	0	0	15.49597	-66.73566	34.64985	-558.5619	-27.93002	-156.9723	704.8126	-63.46989	-3627.322	5.745677	-8.549259	19.29009	-3	-3	-3	0	
17:57:25:206	47.01296	-121.589	1500.6	1500.6	0	0	0	0	0	0	15.49597	-66.73566	34.64985	-558.5619	-27.93002	-156.9723	704.8126	-63.46989	-3627.322	5.745677	-8.549259	19.29009	-3	-3	-3	0	
17:57:25:246	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	15.49597	-66.73566	34.64985	-558.5619	-27.93002	-156.9723	704.8126	-63.46989	-3627.322	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:288	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	-9.724867	-63.98136	0.5940323	-558.5619	13.69298	-136.0341	193.5417	227.0696	-2997.026	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:302	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	-9.724867	-63.98136	0.5940323	-558.5619	13.69298	-136.0341	193.5417	227.0696	-2997.026	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:345	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	-9.724867	-63.98136	0.5940323	-558.5619	13.69298	-136.0341	193.5417	227.0696	-2997.026	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:382	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	-9.724867	-63.98136	0.5940323	-558.5619	13.69298	-136.0341	193.5417	227.0696	-2997.026	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:404	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	-33.79339	-64.95773	-27.85675	-425.1094	29.71877	-112.16	0.646705	277.0318	-2172.302	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:444	47.01297	-121.5891	1497.193	1497.193	0	0	0	0	0	0	-33.79339	-64.95773	-27.85675	-425.1094	29.71877	-112.16	0.646705	277.0318	-2172.302	2.102388	-7.266095	19.7459	-3	-3	-3	0	
17:57:25:450	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-33.79339	-64.95773	-27.85675	-425.1094	29.71877	-112.16	0.646705	277.0318	-2172.302	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:491	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-33.79339	-64.95773	-27.85675	-425.1094	29.71877	-112.16	0.646705	277.0318	-2172.302	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:508	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-33.79339	-64.95773	-27.85675	-425.1094	29.71877	-112.16	0.646705	277.0318	-2172.302	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:545	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-33.79339	-64.95773	-27.85675	-425.1094	29.71877	-112.16	0.646705	277.0318	-2172.302	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:583	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-39.965	-68.66972	-51.13388	-218.6388	12.51053	-90.85555	-157.8757	92.35052	-1811.185	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:602	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-39.965	-68.66972	-51.13388	-218.6388	12.51053	-90.85555	-157.8757	92.35052	-1811.185	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:640	47.01297	-121.5891	1494.967	1494.967	0	0	0	0	0	0	-39.965	-68.66972	-51.13388	-218.6388	12.51053	-90.85555	-157.8757	92.35052	-1811.185	1.424324	-3.869022	20.21295	-3	-3	-3	0	
17:57:25:682	47.01297	-121.5891	1491.02	1491.02	0	0	0	0	0	0	-39.965	-68.66972	-51.13388	-218.6388	12.51053	-90.85555	-157.8757	92.35052	-1811.185	5.441126	-1.672517	20.23924	-3	-3	-3	0	
17:57:25:702	47.01297	-121.5891	1491.02	1491.02	0	0	0	0	0	0	-39.965	-68.66972	-51.13388	-218.6388	12.51053	-90.85555	-157.8757	92.35052	-1811.185	5.441126	-1.672517	20.23924	-3	-3	-3	0	
17:57:25:746	47.01297	-121.5891	1491.02	1491.02	0	0	0	0	0	0	-41.49176	-74.31949	-70.94266	-200.4881	-15.47556	-80.69258	-254.7232	-94.61806	-1290.988	5.441126	-1.672517	20.23924	-3	-3	-3	0	
17:57:25:788	47.01297	-121.5891	1491.02	1491.02	0	0	0	0	0	0	-41.49176	-74.31949	-70.94266	-200.4881	-15.47556	-80.69258	-254.7232	-94.61806	-1290.988	5.441126	-1.672517	20.23924	-3	-3	-3	0	
17:57:25:803	47.01297	-121.5891	1491.02	1491.02	0	0	0	0	0	0	-41.49176	-74.31949	-70.94266	-200.4881	-15.47556	-80.69258	-254.7232	-94.61806	-1290.988	5.441126	-1.672517	20.23924	-3	-3	-3	0	
17:57:25:845	47.01297	-121.5891	1491.02	1491.02	0	0	0	0	0	0	-41.49176	-74.31949	-70.94266	-200.4881	-15.47556	-80.69258	-254.7232	-94.61806	-1290.988	5.441126	-1.672517	20.23924	-3	-3	-3	0	
17:57:25:886	47.01298	-121.5891	1489.056	1489.056	0	0	0	0	0	0	-45.80402	-81.45502	-88.0303	-214.0109	-38.48283	-69.47967	-313.9309	-273.7619	-950.5375	6.551036	-3.135967	20.46033	-3	-3	-3	0	
17:57:25:916	47.01298	-121.5891	1489.056	1489.056	0	0	0	0	0	0	-45.80402	-81.45502	-88.0303	-214.0109	-38.48283	-69.47967	-313.9309	-273.7619	-950.5375	6.551036	-3.135967	20.46033	-3	-3	-3	0	
17:57:25:950	47.01298	-121.5891	1489.056	1489.056	0	0	0	0	0	0	-45.80402	-81.45502	-88.0303	-214.0109	-38.48283	-69.47967	-313.9309	-273.7619	-950.5375	6.551036	-3.135967	20.46033	-3	-3	-3	0	
17:57:25:985	47.01298	-121.5891	1489.056	1489.056	0	0	0	0	0	0	-45.80402	-81.45502	-88.0303	-214.0109	-38.48283	-69.47967	-313.9309	-273.7619	-950.5375	6.551036	-3.135967	20.46033	-3	-3	-3	0	
17:57:26:10	47.01298	-121.5891	1489.056	1489.056	0	0	0	0	0	0	-105.3015	-89.14957	-51.0177	-227.8315	-57.68573	-56.46828	-343.1401	-420.8981	-832.8132	6.551036	-3.135967	20.46033	-3	-3	-3	0	
17:57:26:43	47.01298	-121.5891	1489.056	1489.056	0	0	0	0	0	0	-105.3015	-89.14957	-51.0177	-227.8315	-57.68573	-56.46828	-343.1401	-420.8981	-832.8132	6.551036	-3.135967	20.46033	-3	-3	-3	0	
17:57:26:86	47.01299	-121.5891	1487.055	1487.055	0	0	0	0	0	0	-105.3015	-89.14957	-51.0177	-227.8315	-57.68573	-56.46828	-343.1401	-420.8981	-832.8132	6.675176	-4.472025	20.87775	-3	-3	-3	0	
17:57:26:112	47.01299	-121.5891	1487.055	1487.055	0	0	0	0	0	0	-105.3015	-89.14957	-51.0177	-227.8315	-57.68573	-56.46828	-343.1401	-420.8981	-832.8132	6.675176	-4.472025	20.87775	-3	-3	-3	0	
17:57:26:149	47.01299	-121.5891	1487.055	1487.055	0	0	0	0	0	0	135.1394	-81.70521	44.87334	-238.4751	-75.23746	-46.849	-373.8327	-477.428	-835.0164	6.675176	-4.472025	20.87775	-3	-3	-3	0	
17:57:26:185	47.01299	-121.5891	1487.055	1487.055	0	0	0	0	0	0	135.1394	-81.70521	44.87334	-238.4751	-75.23746	-46.849	-373.8327	-477.428	-835.0164	6.675176	-4.472025	20.87775	-3	-3	-3	0	
17:57:26:215	47.01299	-121.5891	1487.055	1487.055	0	0	0	0	0	0	135.1394	-81.70521	44.87334	-238.4751	-75.23746	-46.849	-373.8327	-477.428	-835.0164	6.675176	-4.472025	20.87775	-3	-3	-3	0	
17:57:26:259	47.01299	-121.5891	1487.055	1487.055	0	0	0	0	0	0	129.6134	-77.19085	38.09638	-242.7633	-83.3214	-45.28812	-393.5804	-487.8484	-855.251	6.675176	-4.472025	20.87775	-3	-3	-3	0	
17:57:26:290	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	129.6134	-77.19085	38.09638	-242.7633	-83.3214	-45.28812	-393.5804	-487.8484	-855.251	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:311	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	129.6134	-77.19085	38.09638	-242.7633	-83.3214	-45.28812	-393.5804	-487.8484	-855.251	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:350	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	129.6134	-77.19085	38.09638	-242.7633	-83.3214	-45.28812	-393.5804	-487.8484	-855.251	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:386	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	118.9026	-67.84298	23.10286	-250.8786	-96.9566	-48.58809	-425.3598	-523.0627	-966.4964	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:416	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	118.9026	-67.84298	23.10286	-250.8786	-96.9566	-48.58809	-425.3598	-523.0627	-966.4964	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:448	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	118.9026	-67.84298	23.10286	-250.8786	-96.9566	-48.58809	-425.3598	-523.0627	-966.4964	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:451	47.013	-121.5891	1482.611	1482.611	0	0	0	0	0	0	118.9026	-67.84298	23.10286	-250.8786	-96.9566	-48.58809	-425.3598	-523.0627	-966.4964	5.45825	-5.844362	22.06241	-3	-3	-3	0	
17:57:26:494	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	118.9026	-67.84298	23.10286	-250.8786	-96.9566	-48.58809	-425.3598	-523.0627	-966.4964	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:509	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	118.9026	-67.84298	23.10286	-250.8786	-96.9566	-48.58809	-425.3598	-523.0627	-966.4964	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:552	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	106.6345	-58.36528	7.859564	-259.1462	-106.2682	-58.40186	-422.5508	-587.799	-1290.066	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:585	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	106.6345	-58.36528	7.859564	-259.1462	-106.2682	-58.40186	-422.5508	-587.799	-1290.066	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:618	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	106.6345	-58.36528	7.859564	-259.1462	-106.2682	-58.40186	-422.5508	-587.799	-1290.066	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:647	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	106.6345	-58.36528	7.859564	-259.1462	-106.2682	-58.40186	-422.5508	-587.799	-1290.066	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:690	47.013	-121.5891	1479.128	1479.128	0	0	0	0	0	0	92.63531	-49.59401	-7.921814	-267.7133	-111.9239	-66.91893	-363.7972	-738.3431	-1897.364	4.043547	-5.840026	23.03479	-3	-3	-3	0	
17:57:26:710	47.01301	-121.5891	1476.586	1476.586	0	0	0	0	0	0	92.63531	-49.59401	-7.921814	-267.7133	-111.9239	-66.91893	-363.7972	-738.3431	-1897.364	3.109212	-5.379504	23.65583	-3	-3	-3	0	
17:57:26:757	47.01301	-121.5891	1476.586	1476.586	0	0	0	0	0	0	92.63531	-49.59401	-7.921814	-267.7133	-111.9239	-66.91893	-363.7972	-738.3431	-1897.364	3.109212	-5.379504	23.65583	-3	-3	-3	0	
17:57:26:787	47.01301	-121.5891	1476.586	1476.586	0	0	0	0	0	0	92.63531	-49.59401	-7.921814	-267.7133	-111.9239	-66.91893	-363.7972	-738.3431	-1897.364	3.109212	-5.379504	23.65583	-3	-3	-3	0	
17:57:26:812	47.01301	-121.5891	1476.586	1476.586	0	0	0	0	0	0	76.90914	-43.02051	-24.74765	-281.4738	-116.1898	-69.63902	-236.9463	-908.1759	-2686.358	3.109212	-5.379504	23.65583	-3	-3	-3	0	
17:57:26:849	47.01301	-121.5891	1476.586	1476.586	0	0	0	0	0	0	76.90914	-43.02051	-24.74765	-281.4738	-116.1898	-69.63902	-236.9463	-908.1759	-2686.358	3.109212	-5.379504	23.65583	-3	-3	-3	0	
17:57:26:893	47.01301	-121.5891	1476.586	1476.586	0	0	0	0	0	0	76.90914	-43.02051	-24.74765	-281.4738	-116.1898	-69.63902	-236.9463	-908.1759	-2686.358	3.109212	-5.379504	23.65583	-3	-3	-3	0	
17:57:26:911	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	76.90914	-43.02051	-24.74765	-281.4738	-116.1898	-69.63902	-236.9463	-908.1759	-2686.358	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:26:952	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	53.60493	-40.06784	-43.07761	-428.476	-124.2445	-78.31943	-64.74641	-1019.002	-3110.613	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:26:973	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	53.60493	-40.06784	-43.07761	-428.476	-124.2445	-78.31943	-64.74641	-1019.002	-3110.613	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:26:994	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	53.60493	-40.06784	-43.07761	-428.476	-124.2445	-78.31943	-64.74641	-1019.002	-3110.613	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:27:12	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	53.60493	-40.06784	-43.07761	-428.476	-124.2445	-78.31943	-64.74641	-1019.002	-3110.613	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:27:65	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	53.60493	-40.06784	-43.07761	-428.476	-124.2445	-78.31943	-64.74641	-1019.002	-3110.613	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:27:97	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	12.66545	-42.9735	-64.55383	-558.5619	-119.7499	-125.0682	528.3277	-830.5186	-3824.357	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:27:100	47.01301	-121.5891	1471.472	1471.472	0	0	0	0	0	0	12.66545	-42.9735	-64.55383	-558.5619	-119.7499	-125.0682	528.3277	-830.5186	-3824.357	1.708942	-2.843169	24.70751	-3	-3	-3	0	
17:57:27:111	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	12.66545	-42.9735	-64.55383	-558.5619	-119.7499	-125.0682	528.3277	-830.5186	-3824.357	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:153	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	12.66545	-42.9735	-64.55383	-558.5619	-119.7499	-125.0682	528.3277	-830.5186	-3824.357	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:174	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	-7.530274	-47.02958	-75.94025	-558.5619	-100.8267	-151.313	790.9613	-541.7387	-4271.189	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:191	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	-7.530274	-47.02958	-75.94025	-558.5619	-100.8267	-151.313	790.9613	-541.7387	-4271.189	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:213	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	-7.530274	-47.02958	-75.94025	-558.5619	-100.8267	-151.313	790.9613	-541.7387	-4271.189	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:250	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	-7.530274	-47.02958	-75.94025	-558.5619	-100.8267	-151.313	790.9613	-541.7387	-4271.189	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:308	47.01301	-121.5891	1468.992	1468.992	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	2.045735	-0.5430616	24.80921	-3	-3	-3	0	
17:57:27:313	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:323	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:357	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:373	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:391	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:410	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-46.21458	-59.46175	-98.21249	-558.5619	-52.0907	-173.8716	510.6911	-63.11253	-4158.063	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:454	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-87.08509	-75.35392	-114.8637	-553.1606	-10.86372	-166.1059	106.1494	80.63032	-3360.023	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:462	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-87.08509	-75.35392	-114.8637	-553.1606	-10.86372	-166.1059	106.1494	80.63032	-3360.023	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:508	47.01302	-121.5891	1464.704	1464.704	0	0	0	0	0	0	-87.08509	-75.35392	-114.8637	-553.1606	-10.86372	-166.1059	106.1494	80.63032	-3360.023	6.286427	1.423509	22.9662	-3	-3	-3	0	
17:57:27:512	47.01303	-121.5891	1461.794	1461.794	0	0	0	0	0	0	-87.08509	-75.35392	-114.8637	-553.1606	-10.86372	-166.1059	106.1494	80.63032	-3360.023	7.14866	-3.526112	21.36615	-3	-3	-3	0	
17:57:27:556	47.01303	-121.5891	1461.794	1461.794	0	0	0	0	0	0	-115.3316	-83.15504	-112.1459	-491.2557	7.133085	-152.0709	43.22615	35.82819	-2993.883	7.14866	-3.526112	21.36615	-3	-3	-3	0	
17:57:27:594	47.01303	-121.5891	1461.794	1461.794	0	0	0	0	0	0	-115.3316	-83.15504	-112.1459	-491.2557	7.133085	-152.0709	43.22615	35.82819	-2993.883	7.14866	-3.526112	21.36615	-3	-3	-3	0	
17:57:27:613	47.01303	-121.5891	1461.794	1461.794	0	0	0	0	0	0	145.8876	-87.00604	-34.51733	-400.5743	13.74995	-130.5916	32.42299	-53.93407	-3140.13	7.14866	-3.526112	21.36615	-3	-3	-3	0	
17:57:27:660	47.01303	-121.5891	1461.794	1461.794	0	0	0	0	0	0	145.8876	-87.00604	-34.51733	-400.5743	13.74995	-130.5916	32.42299	-53.93407	-3140.13	7.14866	-3.526112	21.36615	-3	-3	-3	0	
17:57:27:693	47.01303	-121.5891	1461.794	1461.794	0	0	0	0	0	0	145.8876	-87.00604	-34.51733	-400.5743	13.74995	-130.5916	32.42299	-53.93407	-3140.13	7.14866	-3.526112	21.36615	-3	-3	-3	0	
17:57:27:716	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	145.8876	-87.00604	-34.51733	-400.5743	13.74995	-130.5916	32.42299	-53.93407	-3140.13	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:756	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	145.8876	-87.00604	-34.51733	-400.5743	13.74995	-130.5916	32.42299	-53.93407	-3140.13	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:799	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	80.20052	-77.65904	1.66424	-255.8304	-8.631715	-87.86192	-153.5331	-277.3416	-3033.878	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:816	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	80.20052	-77.65904	1.66424	-255.8304	-8.631715	-87.86192	-153.5331	-277.3416	-3033.878	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:857	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	80.20052	-77.65904	1.66424	-255.8304	-8.631715	-87.86192	-153.5331	-277.3416	-3033.878	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:902	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	80.20052	-77.65904	1.66424	-255.8304	-8.631715	-87.86192	-153.5331	-277.3416	-3033.878	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:913	47.01303	-121.5891	1459.581	1459.581	0	0	0	0	0	0	70.99007	-71.51403	-14.18335	-240.8227	-42.65859	-59.38841	-288.2951	-428.2029	-2295.769	4.171899	-5.476134	21.74617	-3	-3	-3	0	
17:57:27:965	47.01304	-121.5891	1457.122	1457.122	0	0	0	0	0	0	70.99007	-71.51403	-14.18335	-240.8227	-42.65859	-59.38841	-288.2951	-428.2029	-2295.769	1.443813	-4.394619	22.8628	-3	-3	-3	0	
17:57:27:996	47.01304	-121.5891	1457.122	1457.122	0	0	0	0	0	0	68.37821	-69.86388	-24.34595	-242.7569	-58.06081	-48.86921	-328.0256	-476.5925	-1961.888	1.443813	-4.394619	22.8628	-3	-3	-3	0	
17:57:28:17	47.01304	-121.5891	1457.122	1457.122	0	0	0	0	0	0	68.37821	-69.86388	-24.34595	-242.7569	-58.06081	-48.86921	-328.0256	-476.5925	-1961.888	1.443813	-4.394619	22.8628	-3	-3	-3	0	
17:57:28:54	47.01304	-121.5891	1457.122	1457.122	0	0	0	0	0	0	68.37821	-69.86388	-24.34595	-242.7569	-58.06081	-48.86921	-328.0256	-476.5925	-1961.888	1.443813	-4.394619	22.8628	-3	-3	-3	0	
17:57:28:98	47.01304	-121.5891	1457.122	1457.122	0	0	0	0	0	0	68.37821	-69.86388	-24.34595	-242.7569	-58.06081	-48.86921	-328.0256	-476.5925	-1961.888	1.443813	-4.394619	22.8628	-3	-3	-3	0	
17:57:28:114	47.01304	-121.5891	1457.122	1457.122	0	0	0	0	0	0	68.37821	-69.86388	-24.34595	-242.7569	-58.06081	-48.86921	-328.0256	-476.5925	-1961.888	1.443813	-4.394619	22.8628	-3	-3	-3	0	
17:57:28:166	47.01304	-121.5891	1452.238	1452.238	0	0	0	0	0	0	65.71021	-68.70486	-48.08496	-248.967	-84.83554	-36.03093	-384.5286	-526.3073	-1389.592	0.3122597	0.9265729	24.29963	-3	-3	-3	0	
17:57:28:196	47.01304	-121.5891	1452.238	1452.238	0	0	0	0	0	0	65.71021	-68.70486	-48.08496	-248.967	-84.83554	-36.03093	-384.5286	-526.3073	-1389.592	0.3122597	0.9265729	24.29963	-3	-3	-3	0	
17:57:28:218	47.01304	-121.5891	1452.238	1452.238	0	0	0	0	0	0	65.71021	-68.70486	-48.08496	-248.967	-84.83554	-36.03093	-384.5286	-526.3073	-1389.592	0.3122597	0.9265729	24.29963	-3	-3	-3	0	
17:57:28:257	47.01304	-121.5891	1452.238	1452.238	0	0	0	0	0	0	67.20849	-68.96691	-77.0603	-255.6658	-105.6281	-34.8485	-427.7628	-549.7007	-969.7101	0.3122597	0.9265729	24.29963	-3	-3	-3	0	
17:57:28:299	47.01304	-121.5891	1452.238	1452.238	0	0	0	0	0	0	67.20849	-68.96691	-77.0603	-255.6658	-105.6281	-34.8485	-427.7628	-549.7007	-969.7101	0.3122597	0.9265729	24.29963	-3	-3	-3	0	
17:57:28:321	47.01304	-121.5891	1452.238	1452.238	0	0	0	0	0	0	67.20849	-68.96691	-77.0603	-255.6658	-105.6281	-34.8485	-427.7628	-549.7007	-969.7101	0.3122597	0.9265729	24.29963	-3	-3	-3	0	
17:57:28:363	47.01304	-121.5891	1448.751	1448.751	0	0	0	0	0	0	67.20849	-68.96691	-77.0603	-255.6658	-105.6281	-34.8485	-427.7628	-549.7007	-969.7101	1.881548	2.814691	24.72902	-3	-3	-3	0	
17:57:28:382	47.01304	-121.5891	1448.751	1448.751	0	0	0	0	0	0	67.20849	-68.96691	-77.0603	-255.6658	-105.6281	-34.8485	-427.7628	-549.7007	-969.7101	1.881548	2.814691	24.72902	-3	-3	-3	0	
17:57:28:405	47.01304	-121.5891	1448.751	1448.751	0	0	0	0	0	0	72.61417	-68.46702	-110.9091	-261.8251	-119.2581	-44.34375	-463.6565	-586.9177	-823.6546	1.881548	2.814691	24.72902	-3	-3	-3	0	
17:57:28:419	47.01304	-121.5891	1448.751	1448.751	0	0	0	0	0	0	72.61417	-68.46702	-110.9091	-261.8251	-119.2581	-44.34375	-463.6565	-586.9177	-823.6546	1.881548	2.814691	24.72902	-3	-3	-3	0	
