Date	Latitude(deg)	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)	Rollrate(dps)	Pitchrate(dps)	Yawrate(dps)	accelX(m/s/s)	accelY(m/s/s)	accelZ(m/s/s)	vgN(mps)	vgE(mps)	vgD(mps)	Aileron(unit)	Elevator(unit)	Rudder(unit)	Throttle(unit)
17:56:00:147	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.3813	2.560492	161.499	0.01466133	-0.6443262	0	0	0	-1000.21	0	0	-4.637301E-05	-3	-3	-3	0	
17:56:00:165	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.3813	2.560492	161.499	0.01466133	-0.6443262	0	0	0	-1000.21	0	0	-4.637301E-05	-3	-3	-3	0	
17:56:00:186	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.3813	2.560492	161.499	0.01466133	-0.6443262	0	0	0	-1000.21	0	0	-4.637301E-05	-3	-3	-3	0	
17:56:00:207	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.3813	2.560492	161.499	0.01466133	-0.6443262	0	0	0	-1000.21	0	0	-4.637301E-05	-3	-3	-3	0	
17:56:00:263	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.381927	2.5088	161.4977	0.01360936	-1.133018	0	0	0	-997.9569	0	0	-4.637301E-05	-3	-3	-3	0	
17:56:00:284	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.381927	2.5088	161.4977	0.01360936	-1.133018	0	0	0	-997.9569	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:305	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.381927	2.5088	161.4977	0.01360936	-1.133018	0	0	0	-997.9569	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:351	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.382465	2.440198	161.4961	0.01004236	-1.430267	0	0	0	-999.1102	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:367	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.382465	2.440198	161.4961	0.01004236	-1.430267	0	0	0	-999.1102	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:386	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.382465	2.440198	161.4961	0.01004236	-1.430267	0	0	0	-999.1102	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:408	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.382465	2.440198	161.4961	0.01004236	-1.430267	0	0	0	-999.1102	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:470	47.46363	-122.3077	0.0211478	0.0211478	0	0	0	0	0	0	1.382465	2.440198	161.4961	0.01004236	-1.430267	0	0	0	-999.1102	0	0	-0.002236061	-3	-3	-3	0	
17:56:00:485	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.382758	2.362251	161.4942	0.006831665	-1.580196	0	0	0	-999.9189	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:506	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.382758	2.362251	161.4942	0.006831665	-1.580196	0	0	0	-999.9189	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:551	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.382758	2.362251	161.4942	0.006831665	-1.580196	0	0	0	-999.9189	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:568	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.382758	2.362251	161.4942	0.006831665	-1.580196	0	0	0	-999.9189	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:588	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.382758	2.362251	161.4942	0.006831665	-1.580196	0	0	0	-999.9189	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:610	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.382758	2.362251	161.4942	0.006831665	-1.580196	0	0	0	-999.9189	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:646	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.3858	2.2821	161.4922	0.1232054	-1.586812	0	0	0	-996.1	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:669	47.46363	-122.3077	0.02122492	0.02122492	0	0	0	0	0	0	1.3858	2.2821	161.4922	0.1232054	-1.586812	0	0	0	-996.1	0	0	-0.001322281	-3	-3	-3	0	
17:56:00:690	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.3858	2.2821	161.4922	0.1232054	-1.586812	0	0	0	-996.1	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:706	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.3858	2.2821	161.4922	0.1232054	-1.586812	0	0	0	-996.1	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:753	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.3858	2.2821	161.4922	0.1232054	-1.586812	0	0	0	-996.1	0	0	-0.001038164	-3	-3	-3	0	
