18:28:21:513	46.89493	-121.2881	1029.183	1029.183	0	0	0	0	0	0.8642545	-5.420626	-5.969115	34.17127	-0.535652	0.05032442	-1.130846	-79.98946	23.96873	-993.3809	20.52575	26.66987	3.120095	0.001340286	0.03133162	0.002822301	0.8642545	
18:28:21:615	46.89499	-121.288	1027.298	1027.298	0	0	0	0	0	0.8642545	-5.454859	-5.973447	34.07715	-0.5334704	0.05762915	-1.139466	-80.5515	24.01555	-993.7277	20.71107	26.61211	3.13599	0.001335151	0.03132392	0.002843091	0.8642545	
18:28:21:714	46.89499	-121.288	1027.298	1027.298	0	0	0	0	0	0.8642545	-5.489553	-5.977394	33.98023	-0.5313395	0.0649012	-1.148138	-81.14619	24.06341	-994.0918	20.71107	26.61211	3.13599	0.001329681	0.03131671	0.00286509	0.8642545	
18:28:21:816	46.89501	-121.2879	1026.157	1026.157	0	0	0	0	0	0.8642545	-5.525589	-5.981006	33.87792	-0.5291336	0.07239582	-1.157132	-81.73152	24.11284	-994.449	20.81939	26.5751	3.143636	0.001324527	0.03130911	0.002887065	0.8642545	
18:28:21:921	46.89501	-121.2879	1026.157	1026.157	0	0	0	0	0	0.8642545	-5.560687	-5.98406	33.77665	-0.526988	0.07963678	-1.165876	-82.31389	24.16171	-994.8099	20.81939	26.5751	3.143636	0.001318986	0.03130176	0.002909063	0.8642545	
18:28:22:39	46.89505	-121.2879	1025.027	1025.027	0	0	0	0	0	0.8642545	-5.611724	-5.987682	33.6265	-0.5239008	0.08996896	-1.178742	-83.15411	24.2349	-995.314	20.93765	26.53201	3.150689	0.001311072	0.03129096	0.002941658	0.8642545	
18:28:22:182	46.89505	-121.2879	1025.027	1025.027	0	0	0	0	0	0.8642545	-5.659297	-5.990198	33.48335	-0.5210728	0.0994056	-1.190918	-83.91451	24.30114	-995.7725	20.93765	26.53201	3.150689	0.001303792	0.03128083	0.002972387	0.8642545	
18:28:22:275	46.89508	-121.2878	1023.513	1023.513	0	0	0	0	0	0.8642545	-5.706329	-5.991871	33.33879	-0.5183131	0.1085082	-1.20306	-84.6384	24.36539	-996.2092	21.0848	26.47453	3.157677	0.001296929	0.03127152	0.003002625	0.8642545	
18:28:22:388	46.89508	-121.2878	1023.513	1023.513	0	0	0	0	0	0.8642545	-5.751159	-5.992729	33.19812	-0.515758	0.1169878	-1.214615	-85.32174	24.42474	-996.6229	21.0848	26.47453	3.157677	0.001290582	0.03126292	0.003031784	0.8642545	
18:28:22:480	46.89513	-121.2877	1021.813	1021.813	0	0	0	0	0	0.8642545	-5.781403	-5.992901	33.10159	-0.5140752	0.1225927	-1.22234	-85.76797	24.46243	-996.8936	21.25042	26.40478	3.163373	0.001286478	0.03125741	0.00305112	0.8642545	
