Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
17:55:50:119	0	0	0	0	0	0	0	51	0	0	0.1751724	0.2902556	48.16749	
17:55:50:309	0	0	0	0	0	0	0	53	0	0	0.1668245	0.2823565	48.17864	
17:55:50:515	0	0	0	0	0	0	0	55	0	0	0.1777758	0.2794994	48.17251	
17:55:50:715	0	0	0	1.322989	-24.79402	0	3	57	0	6453	0.1764506	0.2642129	48.16	
17:55:50:917	0	0	0	1.322989	-24.79402	0	3	58	0	6453	0.1735792	0.2658562	48.16224	
17:55:51:117	0	0	0	1.322989	-24.79402	0	3	60	0	6453	0.1743794	0.26933	48.16902	
17:55:51:317	0	0	0	1.322989	-24.79402	0	3	61	0	6453	0.1698916	0.25594	48.16703	
17:55:51:518	0	0	0	1.322989	-24.79402	0	3	62	0	6453	0.1681082	0.2626491	48.17405	
17:55:51:718	0	0	0	2.430142	46.95162	0	3	63	0	6453	0.1684524	0.2636396	48.18118	
17:55:51:919	0	0	0	2.430142	46.95162	0	3	65	0	6453	0.1633286	0.2703683	48.1899	
17:55:52:119	0	0	0	2.430142	46.95162	0	3	66	0	6453	0.1611589	0.2767549	48.18617	
17:55:52:320	0	0	0	2.430142	46.95162	0	3	67	0	6453	0.169144	0.2789568	48.18464	
17:55:52:521	0	0	0	2.430142	46.95162	0	3	68	0	6453	0.1769697	0.2814081	48.17661	
17:55:52:722	0	0	0	2.279608	36.63537	0	3	68	0	6453	0.1772973	0.2949437	48.16981	
17:55:52:921	0	0	0	2.279608	36.63537	0	3	69	0	6453	0.1811065	0.2934289	48.1671	
17:55:53:119	0	0	0	2.279608	36.63537	0	3	70	0	6453	0.1806086	0.2775487	48.18407	
17:55:53:320	0	0	0	2.279608	36.63537	0	3	71	0	6453	0.1853917	0.2978646	48.18264	
17:55:53:520	0	0	0	2.279608	36.63537	0	3	72	0	6453	0.1908095	0.3243805	48.17616	
17:55:53:721	0	0	0	2.023508	24.55672	0	3	72	0	6453	0.1873726	0.32898	48.16634	
17:55:53:925	0	0	0	2.023508	24.55672	0	3	73	0	6453	0.1967234	0.3241134	48.16388	
17:55:54:124	0	0	0	2.023508	24.55672	0	3	74	0	6453	0.1976155	0.3257724	48.16064	
17:55:54:326	0	0	0	2.023508	24.55672	0	3	75	0	6453	0.198979	0.3377784	48.16903	
17:55:54:524	0	0	0	2.023508	24.55672	0	3	75	0	6453	0.2103915	0.3422062	48.16336	
17:55:54:725	0	0	0	1.904613	22.74059	0	3	76	0	6453	0.212539	0.3520966	48.15803	
17:55:54:926	0	0	0	1.904613	22.74059	0	3	77	0	6453	0.2148765	0.3527982	48.1504	
17:55:55:126	0	0	0	1.904613	22.74059	0	3	77	0	6453	0.2188427	0.3648369	48.15612	
17:55:55:327	0	0	0	1.904613	22.74059	0	3	78	0	6453	0.2163583	0.3676296	48.17191	
17:55:55:528	0	0	0	1.904613	22.74059	0	3	78	0	6453	0.2163404	0.3670334	48.15812	
17:55:55:728	0	0	0	2.123729	36.16939	0	3	79	0	6453	0.2142169	0.3823856	48.15768	
17:55:55:929	0	0	0	2.123729	36.16939	0	3	79	0	6453	0.2170404	0.3995031	48.15116	
17:55:56:142	0	0	0	2.123729	36.16939	0	3	80	0	6453	0.2201795	0.4010936	48.13705	
17:55:56:330	0	0	0	2.123729	36.16939	0	3	80	0	6453	0.2190424	0.4128053	48.12157	
17:55:56:536	0	0	0	2.123729	36.16939	0	3	81	0	6453	0.2156069	0.406056	48.10848	
17:55:56:736	0	0	0	2.023731	29.14107	0	3	81	0	6453	0.2126059	0.3936118	48.11883	
17:55:56:933	0	0	0	2.023731	29.14107	0	3	81	0	6453	0.2104482	0.380156	48.12426	
17:55:57:134	0	0	0	2.023731	29.14107	0	3	82	0	6453	0.2128865	0.3854581	48.12052	
17:55:57:334	0	0	0	2.023731	29.14107	0	3	82	0	6453	0.2114227	0.3956007	48.11613	
17:55:57:535	0	0	0	2.023731	29.14107	0	3	82	0	6453	0.2126021	0.3974922	48.11833	
17:55:57:736	0	0	0	2.211886	36.8137	0	3	83	0	6453	0.220149	0.4227042	48.11078	
17:55:57:936	0	0	0	2.211886	36.8137	0	3	83	0	6453	0.214511	0.406844	48.11538	
17:55:58:145	0	0	0	2.211886	36.8137	0	3	83	0	6453	0.2094392	0.386786	48.13351	
17:55:58:338	0	0	0	2.211886	36.8137	0	3	84	0	6453	0.212567	0.3928872	48.12939	
17:55:58:538	0	0	0	2.211886	36.8137	0	3	84	0	6453	0.2046517	0.37461	48.12548	
17:55:58:738	0	0	0	2.218709	33.6018	0	3	84	0	6453	0.2108257	0.3787914	48.11549	
17:55:58:939	0	0	0	2.218709	33.6018	0	3	85	0	6453	0.2097564	0.3789249	48.10336	
17:55:59:140	0	0	0	2.218709	33.6018	0	3	85	0	6453	0.2066748	0.3893825	48.09668	
17:55:59:341	0	0	0	2.218709	33.6018	0	3	85	0	6453	0.2041713	0.3900431	48.09251	
17:55:59:541	0	0	0	2.218709	33.6018	0	3	85	0	6453	0.1918729	0.3850442	47.9523	
17:55:59:746	0	0	0	1.930327	-61.4216	0	2	86	0	6453	0.1959768	0.3774053	48.59854	
17:55:59:944	47.46363	-122.3077	0.021	1.930327	-61.4216	0	2	86	0	6453	0.2114941	0.3692207	50.06047	
17:56:00:144	47.46363	-122.3077	0.021	1.930327	-61.4216	0	2	86	0	6453	0.2190019	0.3452826	51.55896	
17:56:00:349	47.46363	-122.3077	0.021	1.930327	-61.4216	0	2	86	0	6453	0.2231882	0.1735555	53.09402	
17:56:00:549	47.46363	-122.3077	0.021	1.930327	-61.4216	0	2	87	0	6453	0.2197646	-0.1229505	54.66882	
17:56:00:750	47.46363	-122.3077	0.021	0.1182976	-119.5906	0	2	87	0	6453	0.2108284	-0.4694857	56.25216	
17:56:00:946	47.46363	-122.3077	0.021	0.1182976	-119.5906	0	2	87	0	6453	0.2168629	-0.7998771	57.90272	
