Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
11:58:05	0	0	0	0	0	0	0	100	0	0	0	0	0	
11:58:05	0	0	0	0	0	0	0	100	0	0	0	0	0	
11:58:05	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:05	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:05	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:06	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:06	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:06	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:06	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:06	0	0	0	0	0	0	3	100	0	50	0	0	0	
11:58:07	0	0	0	0	0	0	3	100	0	50	0	0	0	
