Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
11:55:38	0	0	0	0	0	0	0	100	0	0	0	0	0	
11:55:39	0	0	0	1.799389	114.7005	0	3	100	0	4	0.2130982	0.8126602	157.7715	
11:55:41	0	0	0	0.7636172	-10.25963	0	3	100	0	4	0.250807	0.8676856	157.7971	
11:55:43	0	0	0	0.7345521	-5.157373	0	3	100	0	4	0.2856183	0.8641525	157.838	
11:55:44	0	0	0	0.665853	-10.58918	0	3	100	0	4	0.3050659	0.8934364	157.9386	
11:55:46	0	0	0	0.800609	1.433133	0	3	100	0	4	0.3139054	0.95701	158.0276	
11:55:48	0	0	0	0.6288612	1.408264	0	3	100	0	4	0.34564	1.04823	158.1296	
11:55:49	0	0	0	1.019918	13.64692	0	3	100	0	4	0.3059299	1.057988	158.2057	
11:55:51	0	0	0	0.6605685	-24.81594	0	3	100	0	4	0.3189978	1.006878	158.2748	
11:55:53	0	0	0	1.096544	19.29226	0	3	100	0	4	0.3037636	0.9932104	158.3281	
11:55:55	0	0	0	0.8666658	-10.94737	0	3	100	0	4	0.2816161	0.8724849	158.3215	
11:55:56	0	0	0	0.6552839	-21.83998	0	3	100	0	4	0.2933912	0.8579852	158.3105	
11:55:58	0	0	0	0.7741863	10.89316	0	3	100	0	4	0.3204981	0.9309824	158.3143	
11:56:00	0	0	0	0.9142268	5.234883	0	3	100	0	4	0.2969995	0.9021047	158.3188	
11:56:01	0	0	0	0.9406495	13.30243	0	3	100	0	4	0.2601796	0.885663	158.2746	
11:56:03	0	0	0	1.014633	0.2737549	0	3	100	0	4	0.2680227	0.9139778	158.2526	
