Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:46:46	0	0	0	15.7288	-0.5021661	0	3	100	0	45	-0.6952674	-7.170659	118.7377	
14:46:48	0	0	0	16.46111	26.27893	0	3	100	0	41	-0.6778581	-7.145359	118.802	
14:46:49	0	0	0	15.87106	-16.31007	0	3	100	0	37	-0.6762972	-7.138846	118.8354	
14:46:51	0	0	0	15.50865	-22.44674	0	3	100	0	32	-0.6749399	-7.168572	118.8505	
14:46:53	0	0	0	15.58149	-9.551122	0	3	100	0	28	-0.7089818	-7.149185	118.9501	
14:46:55	0	0	0	15.7181	-5.057142	0	3	100	0	23	-0.6972879	-7.198009	118.8769	
14:46:56	0	0	0	15.36038	-16.41956	0	3	100	0	19	-0.713759	-7.220919	118.8379	
14:46:58	0	0	0	15.77877	7.673117	0	3	100	0	15	-0.6641665	-7.223467	118.7191	
14:47:00	0	0	0	15.77462	0.9607074	0	3	100	0	12	-0.6467498	-7.202967	118.7173	
14:47:01	0	0	0	15.93757	4.446279	0	3	100	0	12	-0.6647785	-7.184482	118.7215	
14:47:03	0	0	0	15.72553	-4.79708	0	3	100	0	12	-0.6782529	-7.166039	118.828	
14:47:05	0	0	0	15.90064	2.935737	0	3	100	0	12	-0.6873699	-7.200822	118.9111	
14:47:07	0	0	0	15.92762	2.568269	0	3	100	0	12	-0.7032109	-7.266507	118.8206	
14:47:08	0	0	0	15.70005	-9.046998	0	3	100	0	12	-0.6716911	-7.359015	118.5474	
14:47:10	0	0	0	15.60895	-9.57901	0	3	100	0	12	-0.6763967	-7.306594	118.3304	
14:47:12	0	0	0	15.50825	-6.52031	0	3	100	0	12	-0.6686815	-7.241947	118.304	
14:47:13	0	0	0	16.04986	16.58371	0	3	100	0	12	-0.692767	-7.237433	118.3364	
