Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
10:27:07	0	0	0	3.184731	60.20223	0	3	100	0	50	2.105818	-2.480168	-63.44389	
10:27:09	0	0	0	2.850747	13.53277	0	3	100	0	50	2.07814	-2.408955	-63.48246	
10:27:11	0	0	0	2.207563	-19.7892	0	3	100	0	50	2.063652	-2.464963	-63.46666	
10:27:12	0	0	0	1.903373	-19.59357	0	3	100	0	50	2.066133	-2.394971	-63.46136	
10:27:14	0	0	0	1.860071	-8.417978	0	3	100	0	50	2.085367	-2.571358	-63.49504	
10:27:16	0	0	0	2.070506	2.996375	0	3	100	0	50	2.089269	-2.489836	-63.44611	
10:27:17	0	0	0	2.134691	4.429154	0	3	100	0	50	2.095201	-2.483556	-63.44392	
10:27:19	0	0	0	2.595328	19.42041	0	3	100	0	50	2.084926	-2.516815	-63.42221	
10:27:21	0	0	0	1.997085	-15.22608	0	3	100	0	50	2.053153	-2.557598	-63.38426	
10:27:22	0	0	0	1.760346	-12.91203	0	3	100	0	50	2.054626	-2.454435	-63.35159	
10:27:24	0	0	0	2.117477	7.759652	0	3	100	0	50	2.077736	-2.401665	-63.38898	
10:27:26	0	0	0	2.432452	16.55668	0	3	100	0	50	2.045786	-2.38546	-63.37459	
