Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
10:53:08	0	0	0	4.637004	-1.587265	0	3	100	0	50	2.138626	-2.515264	-63.18316	
10:53:10	0	0	0	4.367754	0.384829	0	3	100	0	50	2.093598	-2.508133	-63.16988	
10:53:12	0	0	0	4.760728	16.909	0	3	100	0	50	2.087939	-2.589656	-63.17642	
10:53:13	0	0	0	5.208362	23.56871	0	3	100	0	50	2.098822	-2.610622	-63.1461	
10:53:15	0	0	0	5.04951	3.892507	0	3	100	0	50	2.113122	-2.645405	-63.08785	
10:53:17	0	0	0	4.879826	-5.543497	0	3	100	0	50	2.147181	-2.557457	-63.10013	
10:53:19	0	0	0	4.868294	-4.648018	0	3	100	0	50	2.088112	-2.575414	-63.04747	
10:53:20	0	0	0	4.656374	-9.946221	0	3	100	0	50	2.124826	-2.46477	-62.98244	
10:53:22	0	0	0	4.854402	3.460435	0	3	100	0	50	2.174216	-2.409915	-62.99424	
10:53:24	0	0	0	5.100838	8.923188	0	3	100	0	50	2.247255	-2.324182	-63.02917	
10:53:25	0	0	0	5.04371	-0.2225506	0	3	100	0	50	2.254869	-2.363709	-63.07831	
10:53:27	0	0	0	4.843411	-4.551237	0	3	100	0	50	2.269344	-2.340985	-63.11249	
10:53:29	0	0	0	4.862488	-3.433169	0	3	100	0	50	2.330378	-2.246296	-63.15887	
