Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:43:29	0	0	0	14.56943	-58.30116	0	3	100	0	42	-0.735042	-7.215091	118.9353	
14:43:31	0	0	0	15.44447	0.2403882	0	3	100	0	38	-0.7434776	-7.203803	119.0591	
14:43:33	0	0	0	15.64992	1.137652	0	3	100	0	33	-0.7288584	-7.142748	119.1666	
14:43:34	0	0	0	15.1087	-24.96368	0	3	100	0	29	-0.743023	-7.092429	119.3192	
14:43:36	0	0	0	15.42199	0.2998441	0	3	100	0	24	-0.7392856	-7.119399	119.5167	
14:43:38	0	0	0	15.56905	3.882227	0	3	100	0	20	-0.7163734	-7.11437	119.5809	
14:43:39	0	0	0	15.35586	-9.078515	0	3	100	0	16	-0.7391443	-7.168227	119.646	
14:43:41	0	0	0	15.39564	-2.017734	0	3	100	0	12	-0.7216861	-7.241943	119.5627	
14:43:43	0	0	0	15.70636	11.52259	0	3	100	0	12	-0.7095567	-7.266769	119.4711	
14:43:45	0	0	0	15.99203	16.97614	0	3	100	0	12	-0.6953585	-7.346915	119.2407	
14:43:46	0	0	0	16.19336	14.26602	0	3	100	0	12	-0.6686345	-7.344488	119.0719	
14:43:48	0	0	0	15.9243	-3.780247	0	3	100	0	12	-0.6558831	-7.404911	118.8942	
14:43:50	0	0	0	16.0983	5.096459	0	3	100	0	12	-0.6934803	-7.378232	118.8157	
14:43:51	0	0	0	15.85019	-8.792857	0	3	100	0	12	-0.6904985	-7.316919	118.7312	
14:43:53	0	0	0	15.40063	-24.73911	0	3	100	0	12	-0.7005877	-7.338947	118.6885	
14:43:55	0	0	0	15.05784	-21.55936	0	3	100	0	12	-0.6906988	-7.272416	118.6664	
