Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
23:49:27	0	0	0	-0.8794929	-45.03277	0	0	30	0	41	0.6516014	-0.4765018	71.02012	
23:49:28	0	0	0	0.142331	8.559971	0	0	38	0	41	0.7016595	-0.4866744	71.38017	
23:49:30	0	0	0	0.410552	7.029036	0	0	45	0	41	0.6623989	-0.4275221	71.61785	
23:49:32	0	0	0	0.6789386	6.406799	0	0	51	0	41	0.6589012	-0.4227058	71.85166	
23:49:34	0	0	0	0.3153147	-15.27942	0	0	56	0	41	0.6333	-0.3754063	71.98492	
23:49:35	0	0	0	0.07792369	-19.33795	0	0	61	0	41	0.6428379	-0.3438777	72.01198	
23:49:37	0	0	0	0.08343749	-9.540571	0	0	64	0	41	0.6858958	-0.328595	72.0444	
23:49:39	0	0	0	0.3085977	0.04988785	0	0	68	0	41	0.7220955	-0.2544428	72.01931	
23:49:40	0	0	0	0.421701	-0.1119567	0	0	71	0	42	0.6958082	-0.3053018	71.95581	
23:49:42	0	0	0	0.2116277	-10.44979	0	0	73	0	41	0.6972044	-0.3004131	71.937	
23:49:44	0	0	0	-0.1418876	-17.40606	0	0	76	0	41	0.6927063	-0.267718	71.86721	
23:49:45	0	0	0	0.2608972	6.501742	0	0	78	0	41	0.7747641	-0.4064546	71.70441	
23:49:47	0	0	0	0.3516011	3.062522	0	0	80	0	41	0.7655203	-0.4365681	71.52964	
23:49:49	0	0	0	0.1869417	-4.841943	0	0	82	0	41	0.7243014	-0.4329641	71.39999	
23:49:50	0	0	0	0.27613	0.1931934	0	0	83	0	41	0.7119817	-0.4623314	71.24303	
23:49:52	0	0	0	0.1940505	-5.349181	0	0	84	0	41	0.6920837	-0.5041801	71.1187	
23:49:54	0	0	0	0.3048065	2.939976	0	0	86	0	41	0.7059054	-0.487994	70.98911	
23:49:56	0	0	0	0.1377127	-4.84669	0	0	87	0	42	0.6498022	-0.5446629	70.80981	
23:49:57	0	0	0	0.1997307	-0.9126769	0	0	88	0	41	0.6211218	-0.5697573	70.70467	
23:49:59	0	0	0	0.3863308	3.377999	0	0	89	0	41	0.610505	-0.5218102	70.60625	
23:50:01	0	0	0	0.1718239	-7.063513	0	0	90	0	41	0.5989164	-0.5730512	70.51022	
23:50:02	0	0	0	0.1545462	-4.130176	0	0	90	0	42	0.6237332	-0.5420115	70.44826	
23:50:04	0	0	0	0.2866203	0.765052	0	0	91	0	41	0.5888289	-0.4751242	70.44927	
23:50:06	0	0	0	0.3850961	3.879057	0	0	92	0	41	0.5889277	-0.5168644	70.40956	
23:50:07	0	0	0	0.232123	-3.601898	0	0	92	0	41	0.6149997	-0.5384951	70.39291	
23:50:09	0	0	0	0.3329949	0.7421096	0	0	93	0	41	0.6335589	-0.4889024	70.39498	
23:50:11	0	0	0	0.5300521	7.149255	0	0	93	0	42	0.6513063	-0.4416409	70.40007	
23:50:12	0	0	0	-0.05896525	-17.62703	0	0	94	0	42	0.7041423	-0.4097974	70.4394	
23:50:14	0	0	0	0.307313	6.202067	0	0	94	0	42	0.698444	-0.4140078	70.48073	
23:50:16	0	0	0	0.2649911	-4.054883	0	0	95	0	41	0.7292019	-0.4934019	70.46867	
23:50:18	0	0	0	-0.05940275	-13.8998	0	0	95	0	41	0.716844	-0.43774	70.4497	
23:50:19	0	0	0	0.08569735	0.5628568	0	0	95	0	41	0.7221619	-0.4418063	70.40495	
23:50:21	0	0	0	-0.1027171	-7.633596	0	0	96	0	41	0.7511549	-0.4515601	70.38956	
23:50:23	0	0	0	-0.166482	-4.180472	0	0	96	0	41	0.7972162	-0.4779807	70.3855	
23:50:24	0	0	0	0.3205302	15.55591	0	0	96	0	41	0.7500311	-0.4274713	70.36581	
23:50:26	0	0	0	0.3520494	6.49641	0	0	97	0	41	0.7351359	-0.3696889	70.38905	
23:50:28	0	0	0	0.1371984	-4.852081	0	0	97	0	41	0.7286133	-0.4199103	70.40654	
23:50:29	0	0	0	0.002406565	-4.35024	0	0	97	0	41	0.6996372	-0.4219802	70.39326	
23:50:31	0	0	0	-0.01263974	-4.717305	0	0	97	0	41	0.7342007	-0.3601788	70.43848	
23:50:33	0	0	0	-0.08216725	-5.662816	0	0	97	0	41	0.7242558	-0.347198	70.48792	
23:50:34	47.45867	-122.314	5.313	2.532597	72.53931	25.87	0	97	0	41	2.038648	0.4042467	78.1935	
23:50:36	47.45867	-122.314	5.313	5.823573	120.9991	25.87	0	98	0	41	0.8813726	-0.3533657	91.37468	
23:50:38	47.45867	-122.314	5.313	5.942873	33.74154	25.87	0	98	0	41	-0.09982336	-0.7328188	109.3723	
23:50:40	47.45867	-122.314	5.313	5.365526	-22.59007	25.87	0	98	0	41	-0.869712	-0.7346753	128.9729	
23:50:41	47.45867	-122.314	5.313	5.060769	-32.67512	25.87	0	98	0	41	-1.793107	-0.2878624	152.1719	
23:50:43	47.45867	-122.314	5.313	5.034437	-24.50184	25.87	0	98	0	41	-2.278134	0.1749959	173.0359	
23:50:45	47.45867	-122.314	5.313	5.103377	-16.20358	25.87	0	98	0	41	-2.51183	0.4920426	-168.6226	
23:50:46	47.45867	-122.314	5.313	5.161929	-11.92029	25.87	0	98	0	41	-2.881684	0.816157	-151.4517	
23:50:48	47.45867	-122.314	5.313	5.195196	-9.845224	25.87	0	98	0	41	-3.152677	0.8964662	-138.7217	
23:50:50	47.45867	-122.314	5.313	5.213346	-8.533033	25.87	0	98	0	41	-3.398025	0.8118407	-129.3028	
23:50:51	47.45867	-122.314	5.313	5.226614	-7.171925	25.87	0	99	0	42	-3.813579	0.6841627	-121.871	
23:50:53	47.45867	-122.314	5.313	5.239486	-5.961417	25.87	0	99	0	41	-4.13892	0.5180727	-116.2329	
23:50:55	47.45867	-122.314	5.313	5.251242	-4.91209	25.87	0	99	0	36	-4.403443	0.3193977	-112.0876	
23:50:57	47.45867	-122.314	5.313	5.260891	-4.075853	25.87	0	99	0	5	-4.747285	0.0463631	-110.0897	
23:50:58	47.46364	-122.311	0.02	0.8099924	-130.0833	0	0	99	0	4	-2.400993	2.244142	-117.8838	
23:51:00	47.46364	-122.311	0.02	-0.8113132	-93.68161	0	0	99	0	4	-2.897486	1.529625	-124.5366	
23:51:02	47.46364	-122.311	0.02	-0.452344	-11.99513	0	0	99	0	4	-3.058501	0.9977151	-132.4413	
23:51:03	47.46364	-122.311	0.02	0.05149211	24.59553	0	0	99	0	4	-3.080088	1.01706	-138.4088	
23:51:05	47.46364	-122.311	0.02	0.2569501	28.21754	0	0	99	0	4	-3.083698	0.7593426	-143.2233	
23:51:07	47.46364	-122.311	0.02	0.2574726	21.72222	0	0	99	0	4	-2.888889	0.5256128	-149.0032	
23:51:08	47.46364	-122.311	0.02	0.2070574	16.27192	0	0	99	0	4	-2.730466	0.4466152	-153.3642	
23:51:10	47.46364	-122.311	0.02	0.167365	13.42918	0	0	99	0	4	-2.60796	0.4305832	-156.6603	
23:51:12	47.46364	-122.311	0.02	0.1471093	12.15363	0	0	99	0	5	-2.334256	0.4013716	-160.5849	
23:51:13	47.46364	-122.311	0.02	0.1305981	10.60643	0	0	99	0	4	-2.126832	0.4016391	-163.5862	
23:51:15	47.46364	-122.311	0.02	0.1240429	10.43973	0	0	99	0	4	-1.986324	0.4080698	-165.8629	
23:51:17	47.46364	-122.311	0.02	0.1196447	9.935989	0	0	99	0	4	-1.734435	0.4119169	-168.3126	
23:51:19	47.46364	-122.311	0.02	0.1135902	9.201539	0	0	99	0	4	-1.555561	0.4373803	-170.2062	
23:51:20	47.46364	-122.311	0.02	0.1049768	8.118546	0	0	99	0	4	-1.429374	0.4708542	-171.6618	
23:51:22	47.46364	-122.311	0.02	0.09551837	7.307854	0	0	99	0	4	-1.230393	0.4645268	-173.0646	
23:51:24	47.46364	-122.311	0.02	0.08880521	6.782894	0	0	99	0	5	-1.088494	0.4669548	-174.1745	
23:51:25	47.46364	-122.311	0.02	0.08103843	5.633821	0	0	99	0	5	-0.9921659	0.454494	-175.045	
