Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:45:01	0	0	0	0.2415698	-2.416349	0	3	29	0	6546	0.9038781	-4.619017	15.5348	
14:45:03	0	0	0	0.6081042	6.864999	0	3	38	0	6546	0.8594431	-4.669775	15.50479	
14:45:04	0	0	0	0.2596665	-19.92201	0	3	45	0	6546	0.8827807	-4.678823	15.57636	
14:45:06	0	0	0	0.2783739	-14.44218	0	3	51	0	6546	0.85611	-4.713711	15.48837	
14:45:08	0	0	0	0.03273748	-23.14779	0	3	56	0	6546	0.8352097	-4.669413	15.39175	
14:45:09	0	0	0	-0.2693734	-27.01756	0	3	60	0	6546	0.8617653	-4.722389	15.43919	
14:45:11	0	0	0	-0.3110765	-17.60936	0	3	64	0	6546	0.8451022	-4.677942	15.48395	
14:45:13	0	0	0	0.01295104	3.29036	0	3	68	0	6546	5.559369	-4.222091	12.85372	
14:45:14	0	0	0	0.1666487	5.225433	0	3	71	0	6545	3.418432	-3.939783	10.49225	
14:45:16	0	0	0	0.1204842	-3.466709	0	3	73	0	6546	1.013253	-4.205385	11.31994	
14:45:18	0	0	0	0.174736	-2.031063	0	3	76	0	6546	1.709837	-4.294784	12.42052	
14:45:20	0	0	0	0.2883117	-1.737408	0	3	78	0	6546	1.336397	-4.360279	13.10197	
14:45:21	0	0	0	-0.1134584	-18.47008	0	3	80	0	6546	1.266378	-4.448869	13.72257	
14:45:23	0	0	0	-0.1357248	-8.444798	0	3	81	0	6546	0.7851087	-4.534511	13.69749	
14:45:25	0	0	0	0.2108035	7.456683	0	3	83	0	6546	0.9440165	-4.58552	13.96003	
14:45:26	0	0	0	0.2841655	1.441399	0	3	84	0	6546	0.994899	-4.681468	14.41406	
14:45:28	0	0	0	0.04635218	-11.2763	0	3	86	0	6546	1.099332	-4.775156	14.85976	
