Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:50:33	0	0	0	16.28499	-0.8273785	0	3	100	0	45	-0.6655014	-7.135131	119.185	
14:50:35	0	0	0	16.18676	-1.6953	0	3	100	0	41	-0.7103797	-7.17566	119.1332	
14:50:37	0	0	0	16.09	-7.378873	0	3	100	0	37	-0.7017967	-7.119352	119.1843	
14:50:38	0	0	0	15.59936	-25.12869	0	3	100	0	32	-0.7269161	-7.097978	119.3527	
14:50:40	0	0	0	15.40284	-21.565	0	3	100	0	28	-0.7266932	-7.063476	119.4627	
14:50:42	0	0	0	15.58307	-5.917385	0	3	100	0	24	-0.7303354	-7.15364	119.4887	
14:50:44	0	0	0	15.58327	-3.669787	0	3	100	0	19	-0.7367193	-7.178613	119.3924	
14:50:45	0	0	0	15.9182	11.25263	0	3	100	0	15	-0.7150728	-7.20193	119.2505	
14:50:47	0	0	0	15.96399	4.163537	0	3	100	0	12	-0.6946814	-7.24824	119.0829	
14:50:49	0	0	0	16.01472	1.742638	0	3	100	0	12	-0.7325045	-7.302557	118.8358	
14:50:50	0	0	0	15.85856	-4.713966	0	3	100	0	12	-0.7030697	-7.303837	118.5743	
14:50:52	0	0	0	15.99148	0.5559742	0	3	100	0	12	-0.7088642	-7.295031	118.4479	
14:50:54	0	0	0	15.95858	0.6399839	0	3	100	0	12	-0.65806	-7.289541	118.2913	
14:50:56	0	0	0	16.12016	5.655546	0	3	100	0	12	-0.6609408	-7.282608	118.2271	
14:50:57	0	0	0	15.84065	-8.594103	0	3	100	0	12	-0.6769242	-7.221323	118.179	
14:50:59	0	0	0	15.85833	-1.234189	0	3	100	0	12	-0.7123933	-7.218384	118.3153	
