Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
11:44:41	-6.795753	38.9852	141.026	7.750738	-38.10242	0.22	3	100	0	50	-8.390395	0.2496457	-65.0555	
11:44:43	-6.795757	38.9852	138.833	8.787119	5.439528	0.14	3	100	0	50	-8.383288	0.4704259	-65.38412	
11:44:44	-6.795757	38.9852	137.524	8.448868	-26.80124	0.04	3	98	0	50	-8.491627	0.3378516	-65.55635	
11:44:46	-6.795758	38.9852	136.662	8.469228	-20.35359	0.11	3	97	0	50	-8.597944	0.1236436	-65.57925	
11:44:48	-6.795758	38.9852	136.051	8.449808	-23.1215	0.19	3	94	0	50	-8.814765	0.4094545	-65.47433	
11:44:49	-6.795758	38.9852	135.961	8.298332	-24.69136	0.04	3	94	0	50	-8.944976	-0.110279	-65.40254	
11:44:51	-6.795758	38.9852	136.135	8.310037	-18.69857	0.17	3	93	0	50	-8.917257	0.2745064	-65.21353	
11:44:53	-6.795755	38.98519	136.016	8.388284	-12.70772	0.11	3	92	0	50	-8.882279	0.1365661	-65.1288	
11:44:54	-6.795752	38.98519	136.413	8.469479	-11.95061	0.19	3	93	0	50	-9.255229	-0.2396595	-64.89085	
11:44:56	-6.795749	38.98519	136.656	8.608203	-7.44479	0.28	3	93	0	50	-8.998377	-0.2357779	-64.42709	
11:44:58	-6.795748	38.98519	136.293	8.03325	-29.93795	0.07	3	91	0	50	-8.924525	-0.01666374	-64.16967	
11:45:00	-6.795746	38.9852	136.599	8.129429	-14.30137	0.19	3	91	0	50	-8.838906	-0.02997001	-64.13283	
