Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:30:17	0	0	0	13.12092	-45.21056	0	3	100	0	43	-0.7481428	-7.221565	119.4978	
14:30:18	0	0	0	14.32284	20.72359	0	3	100	0	39	-0.7493125	-7.229518	119.5174	
14:30:20	0	0	0	14.21051	1.290541	0	3	100	0	34	-0.7819285	-7.11579	119.6392	
14:30:22	0	0	0	13.97386	-11.92143	0	3	100	0	30	-0.7668672	-7.09262	119.9547	
14:30:24	0	0	0	14.11564	-3.022427	0	3	100	0	26	-0.7104702	-7.107432	120.0585	
14:30:25	0	0	0	14.16791	-0.5717688	0	3	100	0	21	-0.7423676	-7.112172	120.2853	
14:30:27	0	0	0	14.29932	2.886435	0	3	100	0	17	-0.751127	-7.060297	120.5281	
14:30:29	0	0	0	14.04629	-10.49286	0	3	100	0	13	-0.7606425	-7.130091	120.547	
14:30:30	0	0	0	13.87866	-11.30758	0	3	100	0	12	-0.7295304	-7.136312	120.5252	
14:30:32	0	0	0	14.04627	1.182985	0	3	100	0	12	-0.7072027	-7.199492	120.4635	
14:30:34	0	0	0	14.36255	7.91883	0	3	100	0	12	-0.7011391	-7.202279	120.4198	
14:30:36	0	0	0	14.04244	-11.58787	0	3	100	0	12	-0.6957796	-7.212022	120.3139	
14:30:37	0	0	0	13.98954	-7.298568	0	3	100	0	12	-0.7033104	-7.142097	120.3133	
14:30:39	0	0	0	14.08233	-0.2390992	0	3	100	0	12	-0.7217659	-7.128204	120.3939	
14:30:41	0	0	0	13.87625	-9.880319	0	3	100	0	12	-0.7310615	-7.195333	120.5096	
14:30:42	0	0	0	13.76624	-8.982065	0	3	100	0	12	-0.7239807	-7.21737	120.4162	
14:30:44	0	0	0	14.11647	9.455473	0	3	100	0	12	-0.7090459	-7.200004	120.2896	
