Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:55:38	0	0	0	17.10091	-55.32213	0	3	100	0	43	-0.938033	-7.172787	119.1492	
14:55:39	0	0	0	17.43532	-9.955391	0	3	100	0	39	-0.9144294	-7.245168	118.9845	
14:55:41	0	0	0	17.47629	-5.649154	0	3	100	0	34	-0.881586	-7.278593	118.8299	
14:55:43	0	0	0	17.67659	3.947773	0	3	100	0	30	-0.8406351	-7.264102	118.7455	
14:55:45	0	0	0	17.85736	3.573778	0	3	100	0	26	-0.8594221	-7.267067	118.7213	
14:55:46	0	0	0	17.9235	4.028785	0	3	100	0	21	-0.8509329	-7.221118	118.7098	
14:55:48	0	0	0	17.82033	-4.715251	0	3	100	0	17	-0.8559148	-7.225348	118.6923	
14:55:50	0	0	0	17.80756	-2.40733	0	3	100	0	12	-0.8401401	-7.252465	118.7254	
14:55:51	0	0	0	17.68805	-7.555146	0	3	100	0	12	-0.8421384	-7.335252	118.6649	
14:55:53	0	0	0	17.67702	-3.685848	0	3	100	0	12	-0.8618641	-7.268942	118.6055	
14:55:55	0	0	0	17.8204	2.087386	0	3	100	0	12	-0.8494871	-7.284151	118.4481	
14:55:57	0	0	0	17.63495	-6.027866	0	3	100	0	12	-0.8844799	-7.253705	118.4462	
14:55:58	0	0	0	17.71227	-0.1866214	0	3	100	0	12	-0.878845	-7.245356	118.4671	
14:56:00	0	0	0	17.69898	-2.498091	0	3	100	0	12	-0.8926589	-7.270327	118.4696	
