Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
20:06:46	47.27462	-122.5769	0.025	0.025	0	0	3	100	0	5	0.4963104	-0.4525535	0.1134344	
20:06:48	47.27462	-122.5769	0.025	0.025	0	0	3	100	0	4	0.4963104	-0.4525535	0.1134344	
20:06:49	47.27462	-122.5769	0.025	0.025	0	0	3	100	0	4	0.545838	-0.4979126	0.1245621	
20:06:51	47.27466	-122.5771	0.044	-0.4173563	-220.1517	0.47	3	100	0	4	124.2124	-16.28175	-55.67725	
20:06:53	47.27466	-122.5771	0.043	-5.0177	-733.1085	0.45	3	100	0	4	56.68716	-43.62257	-45.01019	
20:06:55	47.27466	-122.5771	0.043	-4.774253	-326.9717	0.43	3	100	0	4	76.24619	-27.00263	-54.1242	
20:06:56	47.27466	-122.5771	0.044	-2.989544	-176.1409	0.5	3	100	0	4	68.53357	-28.28915	-54.54451	
20:06:58	47.27465	-122.5771	0.043	-1.048535	-13.6329	0.44	3	100	0	4	70.89146	-25.74798	-75.61715	
20:07:00	47.27465	-122.5771	0.044	-1.331428	-271.3015	0.5	3	100	0	4	28.72877	5.18224	12.66011	
20:07:01	47.27466	-122.5771	0.043	-4.287875	-998.9229	0.45	3	100	0	4	169.3539	-43.47702	-142.3674	
20:07:03	47.27467	-122.5771	0.033	-11.35043	-1449.969	0.04	3	100	0	4	75.07515	-61.47789	-91.13099	
20:07:05	47.27467	-122.5771	0.024	-9.889749	-602.1477	0.01	3	100	0	4	-45.46988	-32.18214	-94.72011	
20:07:06	47.27467	-122.5771	0.025	-6.931423	-757.1779	0	3	100	0	4	-111.5179	-14.4698	-47.02676	
20:07:08	47.27467	-122.5771	0.022	-12.05083	-1762.861	0.01	3	100	0	4	-141.9954	51.10645	-21.27973	
20:07:10	47.27467	-122.5771	0.023	-16.81208	-1801.388	0.01	3	100	0	4	-15.53976	58.8939	167.1729	
20:07:11	47.27467	-122.5771	0.024	-9.17069	-165.66	0	3	100	0	4	-46.09511	8.2116	-140.9142	
20:07:13	47.27467	-122.5771	0.024	-0.408877	77.54395	0.01	3	100	0	4	-95.38461	-12.15345	-87.5479	
20:07:15	47.27467	-122.5771	0.024	-4.656418	-1051.544	0	3	100	0	4	-141.3745	4.349008	-39.24706	
20:07:17	47.27467	-122.5771	0.024	-14.38719	-1882.929	0	3	100	0	4	171.7542	62.17791	-23.63793	
20:07:18	47.27467	-122.5771	0.024	-12.94882	-633.7921	0	3	100	0	4	-15.98467	40.09804	-151.3991	
20:07:20	47.27467	-122.5771	0.024	-2.715012	599.3568	0	3	100	0	4	-63.06924	-11.54221	-111.2394	
20:07:22	47.27467	-122.5771	0.024	3.774535	316.8314	0.02	3	100	0	4	-119.4585	-15.31026	-57.90531	
20:07:23	47.27467	-122.5771	0.024	-3.941724	-1120.933	0.01	3	100	0	4	-161.2656	27.28911	-27.23599	
20:07:25	47.27467	-122.5771	0.024	-12.16259	-1286.789	0	3	100	0	4	-1.183278	86.54736	-168.0141	
20:07:27	47.27467	-122.5771	0.024	-5.9533	218.9654	0.02	3	100	0	4	-41.3894	17.49292	-142.0881	
20:07:28	47.27467	-122.5771	0.024	3.885188	961.7856	0.01	3	100	0	4	-91.25793	-21.27733	-91.56016	
20:07:30	47.27467	-122.5771	0.024	3.286277	-211.3581	0.01	3	100	0	4	-143.4918	0.590162	-47.76668	
20:07:32	47.27467	-122.5771	0.024	-6.841805	-1236.533	0	3	100	0	4	164.0816	62.39247	-51.66885	
20:07:33	47.27467	-122.5771	0.024	-6.942893	-124.4991	0	3	100	0	4	-20.53693	36.81949	-179.0732	
20:07:35	47.27467	-122.5771	0.024	3.937207	1120.793	0	3	100	0	4	-69.11175	-12.98973	-135.303	
20:07:37	47.27467	-122.5771	0.023	8.006438	511.1066	0.02	3	100	0	4	-119.9705	-39.27567	-87.90633	
20:07:39	47.27467	-122.5771	0.025	-1.253035	-934.5587	0.01	3	100	0	4	152.8398	-19.25234	-5.033859	
20:07:40	47.27467	-122.5771	0.025	-8.567669	-724.7157	0.03	3	100	0	4	42.69012	68.72781	-64.13033	
20:07:42	47.27467	-122.5771	0.026	-1.158463	662.5716	0	3	100	0	4	-33.04654	-32.31075	-127.9877	
20:07:44	47.27467	-122.5771	0.025	5.018861	522.4182	0.04	3	100	0	4	102.6826	-70.03307	48.35794	
20:07:45	47.27467	-122.5771	0.026	3.387886	325.9295	0.03	3	100	0	5	64.56394	-0.9495164	-19.85777	
20:07:47	47.27467	-122.5771	0.025	5.875002	893.5484	0.04	3	100	0	4	21.20776	-22.93999	-117.1673	
20:07:49	47.27467	-122.5771	0.025	9.571699	1041.343	0.04	3	100	0	4	33.00541	-36.01626	135.0919	
20:07:50	47.27467	-122.5771	0.026	10.24372	1073.771	0.03	3	100	0	4	61.55911	14.95538	126.1701	
20:07:52	47.27467	-122.5771	0.025	10.0969	901.9714	0.01	3	100	0	5	108.6829	59.27464	148.0652	
20:07:54	47.27467	-122.5771	0.025	4.804335	-145.2603	0.01	3	100	0	4	-153.249	47.97488	-153.1326	
20:07:55	47.27467	-122.5771	0.025	-5.012532	-1075.902	0	3	100	0	4	-99.67487	18.24667	-162.572	
20:07:57	47.27467	-122.5771	0.025	-8.798317	-816.1439	0	3	100	0	4	-40.82174	8.478358	165.0298	
20:07:59	47.27467	-122.5772	0.038	-1.92455	549.0659	0.3	3	100	0	4	-19.08266	15.26457	61.62021	
20:08:01	47.27467	-122.5772	0.029	7.354432	1039.271	0.05	3	100	0	4	32.45326	-14.84035	-74.34153	
20:08:02	47.27467	-122.5772	0.03	9.84618	1133.297	0.08	3	100	0	4	18.00384	18.87791	152.2958	
20:08:04	47.27467	-122.5772	0.03	11.06532	1084.708	0.08	3	100	0	5	14.84884	-6.379165	43.53126	
20:08:06	47.27467	-122.5772	0.028	9.608444	781.8104	0.07	3	100	0	4	33.68835	3.090397	-70.05664	
20:08:07	47.27467	-122.5772	0.034	8.034186	732.6348	0.15	3	100	0	4	14.96945	9.834777	136.4989	
