Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
15:11:21	0	0	0	0	0	0	0	100	0	0	-0.1820781	1.117748	-124.2535	
15:11:21	0	0	0	0.2260408	-1.518543	0	3	100	0	50	-0.1931292	1.109481	-124.2383	
15:11:21	0	0	0	0.09391444	-11.29818	0	3	100	0	50	-0.1932167	1.103283	-124.2494	
15:11:22	0	0	0	-0.3093375	-34.26291	0	3	100	0	50	-0.1947828	1.121634	-124.1982	
15:11:22	0	0	0	-1.091394	-71.53864	0	3	100	0	50	-0.1988142	1.088265	-124.2161	
15:11:22	0	0	0	-1.28595	-77.16155	0	3	100	0	50	-0.2002617	1.088459	-124.232	
15:11:22	0	0	0	-1.264529	-70.69388	0	3	100	0	50	-0.2076733	1.081461	-124.1867	
15:11:23	0	0	0	-1.198611	-62.82909	0	3	100	0	50	-0.2189568	1.107556	-124.0832	
15:11:23	0	0	0	-1.090056	-53.94113	0	3	100	0	50	-0.2164691	1.102186	-124.1044	
15:11:23	0	0	0	-0.9704279	-45.01379	0	3	99	0	50	-0.221512	1.098939	-124.1363	
15:11:23	0	0	0	-0.7370095	-30.05662	0	3	99	0	50	-0.2204197	1.113685	-124.0514	
15:11:24	0	0	0	-0.6614726	-25.44145	0	3	99	0	50	-0.2112211	1.102217	-124.049	
15:11:24	0	0	0	-0.5862272	-20.88938	0	3	99	0	50	-0.2181888	1.105146	-124.0618	
15:11:24	0	0	0	-0.5264552	-17.91157	0	3	99	0	50	-0.22504	1.100699	-124.09	
15:11:24	0	0	0	-0.4729447	-15.79364	0	3	99	0	50	-0.2082452	1.089869	-124.067	
15:11:24	0	0	0	-0.5098881	-18.29996	0	3	99	0	50	-0.2172711	1.077526	-124.0028	
15:11:25	0	0	0	-0.5638656	-21.34908	0	3	99	0	50	-0.2161566	1.075327	-124.0159	
15:11:25	0	0	0	-0.5770489	-22.16115	0	3	99	0	50	-0.2205961	1.072993	-124.0221	
15:11:25	0	0	0	-0.5770489	-22.16115	0	3	98	0	50	-0.2088306	1.101809	-124.0521	
15:11:25	0	0	0	-0.5986609	-23.33498	0	3	98	0	50	-0.2170035	1.072616	-123.9651	
15:11:25	-6.795773	38.98492	66.352	-0.6144446	-23.98361	0.33	3	98	0	50	-0.2075129	1.073673	-123.8825	
15:11:26	-6.795767	38.9849	62.89	-0.6260931	-23.74713	2.16	3	98	0	50	-0.203224	1.065623	-123.9165	
15:11:26	-6.795765	38.98488	61.299	-0.6344484	-23.24342	1.32	3	98	0	50	-0.2034626	1.069777	-123.9455	
15:11:26	-6.795765	38.98489	61.848	-0.6434172	-23.14347	0.66	3	98	0	50	-0.2057487	1.066373	-123.8717	
15:11:26	-6.795763	38.98488	60.955	-0.6509339	-23.04385	0.57	3	97	0	50	-0.1906499	1.085495	-123.766	
15:11:27	-6.795762	38.98487	60.26	-0.6199446	-21.27477	0.16	3	97	0	50	-0.1880927	1.087255	-123.7941	
15:11:27	-6.79576	38.98486	59.102	-0.6167237	-20.83811	0.11	3	97	0	50	-0.1892804	1.107507	-123.8215	
15:11:27	-6.795759	38.98486	57.911	-0.6168435	-21.08234	0.11	3	97	0	50	-0.1795321	1.117604	-123.6564	
15:11:27	-6.795758	38.98485	56.776	-0.6261133	-21.4044	0.22	3	97	0	50	-0.1769299	1.127154	-123.6818	
