Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
10:06:41	0	0	0	1.375823	40.52409	0	3	100	0	50	2.113731	-2.392272	-63.53336	
10:06:42	0	0	0	1.388103	10.95637	0	3	100	0	50	2.10495	-2.332874	-63.52831	
10:06:44	0	0	0	0.5103304	-26.33438	0	3	100	0	50	2.123514	-2.313262	-63.53123	
10:06:46	0	0	0	0.515132	-10.49933	0	3	100	0	50	2.068871	-2.37311	-63.49662	
10:06:47	0	0	0	0.7386492	3.375385	0	3	100	0	50	2.092674	-2.334788	-63.47488	
10:06:49	0	0	0	0.7355421	1.711638	0	3	100	0	50	2.185913	-2.349926	-63.51431	
10:06:51	0	0	0	0.622481	-2.621472	0	3	100	0	50	2.143591	-2.442521	-63.54374	
10:06:53	0	0	0	0.5257658	-6.41746	0	3	100	0	50	2.139866	-2.438262	-63.5372	
10:06:54	0	0	0	0.5154592	-1.880915	0	3	100	0	50	2.120136	-2.474757	-63.56556	
10:06:56	0	0	0	0.4964102	-1.597183	0	3	100	0	50	2.1078	-2.508266	-63.49968	
10:06:58	0	0	0	0.5900752	-0.02061071	0	3	100	0	50	2.085186	-2.527935	-63.4472	
