Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
18:10:40	47.46362	-122.3077	0.035	0.035	0	0	3	100	0	4	-0.0003113603	0.0006082978	0.2699367	
18:10:41	47.46362	-122.3077	0.035	0.035	0	0	3	100	0	4	-0.0002804828	0.0005473371	0.2429434	
18:10:43	47.46362	-122.3077	0.035	0.035	0	0	3	100	0	4	-0.0003113603	0.0006082978	0.2699367	
18:10:45	47.46362	-122.3077	0.035	0.035	0	0	3	100	0	4	-0.0003113603	0.0006082978	0.2699367	
18:10:46	47.46362	-122.3077	0.035	0.035	0	0	3	100	0	4	-0.0003421803	0.0006692872	0.29693	
18:10:48	47.46362	-122.3077	0.035	0.035	0	0	3	100	0	4	-0.0003113603	0.0006082978	0.2699367	
18:10:50	47.46362	-122.3077	0.035	-0.1456625	-38.8649	0	3	100	0	4	-3.50271	-2.881384	-13.10253	
18:10:51	47.46362	-122.3077	0.035	-0.201151	-15.59159	0	3	100	0	4	-1.086555	0.05319836	-40.29702	
18:10:53	47.46362	-122.3077	0.035	-0.0308047	2.40145	0	3	100	0	4	-1.194606	-0.3579709	-43.04387	
18:10:55	47.46362	-122.3077	0.035	0.07629809	7.401437	0	3	100	0	4	-1.197847	-0.3301943	-43.45218	
18:10:57	47.46362	-122.3077	0.035	0.09803213	6.079744	0	3	100	0	5	-1.196979	-0.3266151	-43.37249	
18:10:58	47.46362	-122.3077	0.035	0.0843173	3.875114	0	3	100	0	4	-1.197384	-0.3261824	-43.21872	
18:11:00	47.46362	-122.3077	0.035	0.06792004	2.521255	0	3	100	0	4	-1.19564	-0.332722	-43.47131	
18:11:02	47.46362	-122.3077	0.035	0.05822437	1.934523	0	3	100	0	4	-1.196969	-0.3275256	-43.44509	
18:11:03	47.46362	-122.3077	0.035	0.05350877	1.65961	0	3	100	0	4	-1.196974	-0.3282902	-43.41543	
18:11:05	47.46362	-122.3077	0.035	0.05061061	1.35834	0	3	100	0	4	-1.9219	-0.1080865	-24.02432	
18:11:07	47.46362	-122.3077	0.035	0.04460176	0.5349177	0	3	100	0	4	-2.257837	1.127602	8.497894	
18:11:09	47.46362	-122.3077	0.041	-0.08995597	-106.3957	0.43	3	100	0	11	47.52593	3.488188	41.40417	
18:11:10	47.46363	-122.3077	-0.015	-5.155511	-1091.239	2.02	3	100	0	16	-129.2463	8.918192	13.62863	
18:11:12	47.46363	-122.3077	-0.015	-13.65792	-1707.797	2.02	3	100	0	4	118.5511	18.06213	23.3743	
18:11:14	47.46363	-122.3078	0.026	-17.34019	-1889.291	0	3	100	0	12	108.1023	27.18195	22.94496	
18:11:15	47.46365	-122.3078	0.016	-16.08095	-1179.537	0.92	3	100	0	11	85.251	43.72139	-33.22527	
18:11:17	47.46364	-122.3078	0.029	-7.857598	-512.8105	0	3	100	0	45	82.73518	-0.4395359	63.39579	
18:11:19	47.46365	-122.3078	-0.052	-6.66337	-803.6136	1.88	3	100	0	4	57.56297	-12.56576	96.35963	
18:11:21	47.46365	-122.3078	-0.052	-7.26669	-698.2506	1.88	3	100	0	4	165.6712	-25.20101	128.6132	
18:11:22	47.46363	-122.3077	0.163	-11.53496	-1741.653	1.25	3	100	0	4	-132.6637	-28.9906	60.36646	
18:11:24	47.46361	-122.3077	1.539	-12.28123	-916.5004	3.32	3.673173	100	0	18	-63.78082	-21.46594	37.32622	
18:11:26	47.46359	-122.3077	-0.085	-3.391097	215.7205	1.56	3	100	0	4	-130.7368	25.06609	155.9542	
18:11:27	47.46359	-122.3077	-0.083	5.264583	928.0339	0	3	100	0	5	-168.419	51.33635	164.5092	
18:11:29	47.46359	-122.3077	-0.083	8.359274	809.946	0	3	100	0	4	172.4447	66.45456	-177.8927	
18:11:31	47.46359	-122.3077	-0.083	4.947095	181.8707	0	3	100	0	9	113.8803	73.56748	149.3788	
18:11:32	47.46359	-122.3077	-0.083	-1.464411	-536.0335	0	3	100	0	4	55.92451	67.21465	115.5114	
18:11:34	47.46359	-122.3077	-0.083	-8.225993	-1190.834	0	3	100	0	6	26.41363	50.27884	109.9147	
18:11:36	47.46359	-122.3077	-0.083	-13.99348	-1648.385	0	3	100	0	6	-31.72336	26.89362	79.71893	
18:11:38	47.46359	-122.3077	-0.083	-14.52335	-1154.363	0	3	100	0	6	-84.90344	-13.40299	94.51444	
18:11:39	47.46363	-122.3078	0.032	-6.12797	-3.459726	0	3	100	0	6	-71.48723	-16.2851	86.62472	
18:11:41	47.46364	-122.3078	0.022	4.636225	853.3091	1.33	3	100	0	4	-31.14325	7.483195	95.97952	
18:11:43	47.46364	-122.3078	0.029	11.13144	1433.334	0	3	100	0	4	-25.48513	21.57534	107.1481	
18:11:44	47.46364	-122.3078	0.028	14.99431	1610.766	0	3	100	0	4	-15.40907	15.14229	117.8218	
18:11:46	47.46364	-122.3078	0.026	15.30945	1471.021	0	3	100	0	4	-14.65495	7.887452	131.6447	
18:11:48	47.46364	-122.3078	-0.115	13.36192	1467.225	1.06	3	100	0	17	162.4613	-30.34928	95.17307	
18:11:50	47.46364	-122.3078	-0.115	19.34504	1835.619	1.06	3	100	0	4	-123.4923	-41.89115	-132.368	
18:11:51	47.46363	-122.3078	0.027	12.89988	219.1822	0	3	100	0	7	-166.3015	-19.9752	130.5212	
18:11:53	47.46364	-122.3078	0.025	-11.18982	-2464.418	0.26	3	100	0	6	167.7721	-14.17824	-152.1396	
18:11:55	47.46364	-122.3078	0.023	-25.59585	-2879.494	0	3	100	0	8	143.6717	-25.43164	-157.7247	
18:11:56	47.46364	-122.3078	-0.085	-19.55662	-1117.384	0	3	100	0	8	-108.535	10.65451	-147.1404	
18:11:58	47.46364	-122.3078	-0.083	-5.437825	110.9524	0	3	100	0	7	-101.2081	5.966079	-178.9649	
18:12:00	47.46364	-122.3078	-0.083	0.8783612	207.91	0	3	100	0	4	-94.44669	14.52689	147.0724	
18:12:01	47.46364	-122.3078	-0.083	0.4860747	-46.33564	0	3	100	0	4	-92.47544	14.60345	113.8474	
18:12:03	47.46364	-122.3078	-0.083	-1.528163	-261.3816	0	3	100	0	21	-88.15079	10.86356	81.42626	
18:12:05	47.46364	-122.3078	-0.083	-3.271612	-406.5412	0	3	100	0	78	-82.45418	8.824642	48.43007	
18:12:07	47.46364	-122.3078	-0.083	-4.598155	-510.5198	0	3	100	0	4	-78.63486	16.42257	16.56601	
18:12:08	47.46364	-122.3078	-0.083	-5.090244	-496.131	0	3	100	0	4	-79.03466	20.50403	-20.17642	
18:12:10	47.46364	-122.3078	-0.083	-4.231281	-288.6285	0	3	100	0	4	-94.11207	56.3256	-72.76049	
18:12:12	47.46364	-122.3078	-0.083	0.3931863	465.2233	0	3	100	0	4	-158.3387	50.21775	179.3021	
18:12:13	47.46363	-122.3077	0.03	1.164222	-100.8276	0.03	3	100	0	4	-77.4476	69.11439	-148.2806	
18:12:15	47.46363	-122.3077	0.043	3.743277	861.5814	0.61	3	100	0	4	-28.18436	62.30698	20.18254	
18:12:17	47.46363	-122.3077	0.033	12.41487	1608.63	0.68	3	100	0	4	-14.75183	59.47724	85.38363	
18:12:19	47.46363	-122.3077	0.04	15.70924	1581.06	0.48	3	100	0	4	3.464884	63.83913	170.841	
18:12:20	47.46363	-122.3077	0.033	14.38592	1284.993	0.77	3	100	0	4	-10.55867	60.85972	16.70293	
18:12:22	47.46363	-122.3077	0.032	11.65973	1000.143	0.76	3	100	0	4	-28.17859	59.55644	-140.603	
18:12:24	47.46363	-122.3077	0.032	9.331839	781.7806	0.73	3	100	0	4	62.27806	1.128242	-153.7671	
18:12:25	47.46363	-122.3077	0.025	6.644635	534.3703	0.02	3	100	0	4	14.30398	-42.25923	-134.2487	
18:12:27	47.46363	-122.3077	0.034	3.771419	211.9532	0.1	3	100	0	5	-43.41449	-18.23727	32.83785	
18:12:29	47.46362	-122.3077	0.04	1.601501	101.2356	0.24	3	100	0	5	-26.75196	-1.715264	-144.1328	
18:12:30	47.46362	-122.3077	0.023	-1.626806	-479.5521	0	3	100	0	4	-88.26917	-24.55935	-72.9327	
18:12:32	47.46362	-122.3077	0.022	-9.100139	-1365.829	0.07	3	100	0	4	-114.9873	52.76855	-27.67328	
18:12:34	47.46362	-122.3077	0.034	-8.918877	-470.0526	0.1	3	100	0	10	32.87557	-11.83231	152.7398	
18:12:36	47.46362	-122.3077	0.04	-4.24241	-573.3711	0.27	3	100	0	16	90.07095	-18.11217	76.64452	
18:12:37	47.46362	-122.3077	0.002	-9.227954	-1021.076	1.83	3	100	0	22	-17.7419	-16.64699	90.94527	
18:12:39	47.46362	-122.3077	0.002	-9.180985	-886.0834	1.83	3	100	0	23	-119.1865	-22.50291	93.21877	
18:12:41	47.46363	-122.3078	0.669	-10.56625	-1245.98	4.63	3	100	0	22	-90.31882	46.39476	-4.296684	
18:12:42	47.46379	-122.3079	0.054	-5.193922	-689.782	14.69	12.33179	100	0	32	-57.69502	5.013584	-67.80864	
18:12:44	47.46391	-122.3081	-0.084	-11.61377	-1397.811	2.88	3	100	0	46	52.56555	15.8759	62.9435	
18:12:46	47.46391	-122.3081	-0.084	-13.33024	-1307.307	0.01	3.332659	100	0	99	49.20359	18.30641	155.6369	
18:12:48	47.46391	-122.3081	-0.084	-12.76547	-1259.923	0.01	3	100	0	37	33.52861	14.42145	-109.4236	
18:12:49	47.46391	-122.3081	-0.084	-12.50829	-1157.182	0.01	3	100	0	42	25.21016	43.23561	-29.35904	
18:12:51	47.46391	-122.3081	-0.084	-7.753993	-314.576	0.01	3	100	0	43	81.5491	35.5349	102.6694	
18:12:53	47.46391	-122.3081	-0.084	-0.885524	120.1961	0.01	3	100	0	52	58.14827	-13.67861	177.3976	
18:12:54	47.46391	-122.3081	-0.084	-2.918297	-651.8822	0.01	3	100	0	4	-7.276709	-4.008526	-106.6101	
18:12:56	47.46391	-122.3081	-0.084	-7.303084	-633.3079	0.01	3	100	0	4	-76.9421	64.30061	-113.2319	
18:12:58	47.46391	-122.3081	-0.084	3.05164	1204.426	0.01	3	100	0	4	131.0932	6.292427	142.0736	
18:13:00	47.46391	-122.3081	-0.084	12.81082	1343.793	0.02	3	100	0	4	67.30022	-57.73268	-177.0283	
18:13:01	47.46391	-122.3081	-0.084	5.75261	-52.84076	0.01	3	100	0	4	-56.3054	-20.03275	-99.33455	
18:13:03	47.46391	-122.3081	-0.084	1.256685	442.5596	0.01	3	100	0	4	-150.9497	18.51481	-167.4213	
18:13:05	47.46391	-122.3081	-0.084	11.39778	1685.083	0.01	3	100	0	4	149.2419	-41.81449	142.1846	
18:13:06	47.46391	-122.3081	-0.084	12.92581	953.223	0.01	3	100	0	4	-73.22736	-73.72273	-52.8985	
18:13:08	47.46391	-122.3081	-0.084	4.964271	176.1378	0.01	3	100	0	4	-111.2286	-19.84917	-106.9032	
18:13:10	47.46391	-122.3081	-0.084	5.767986	928.7959	0.01	3	100	0	4	-166.1185	-19.92998	168.4733	
18:13:11	47.46391	-122.3081	-0.084	10.56245	1116.675	0.02	3	100	0	4	179.1276	-64.40538	98.75581	
18:13:13	47.46391	-122.3081	-0.083	6.662765	282.8438	0.02	3	100	0	4	-104.2163	-50.72797	-56.09649	
18:13:15	47.46391	-122.3081	-0.084	2.022224	133.9649	0	3	100	0	4	-130.3077	-34.40992	-97.79887	
18:13:17	47.46391	-122.3081	-0.084	3.095376	422.087	0	3	100	0	4	169.0625	-58.62067	-72.27274	
18:13:18	47.46391	-122.3081	-0.084	3.001127	159.4849	0	3	100	0	4	107.9412	-57.92715	-32.4386	
18:13:20	47.46391	-122.3081	-0.084	-1.98338	-598.9399	0	3	100	0	4	71.71159	-28.283	-10.21167	
18:13:22	47.46391	-122.3081	-0.084	-9.616131	-1371.628	0	3	100	0	4	53.58921	16.81343	-2.109767	
18:13:23	47.46391	-122.3081	-0.084	-13.86933	-1375.994	0	3	100	0	4	39.55401	70.96632	9.691467	
18:13:25	47.46391	-122.3081	-0.084	-7.862312	-100.5842	0	3	100	0	4	-167.4099	51.62496	-161.2573	
18:13:27	47.46391	-122.3081	-0.084	5.638937	989.4538	0	3	100	0	4	168.4621	8.944971	-138.3051	
18:13:29	47.46363	-122.3078	0.02	-2.140458	-1065.672	0	3	100	0	4	163.9765	11.5904	-148.5043	
18:13:30	47.46363	-122.3078	0.02	-14.21491	-1873.038	0	3	100	0	4	156.2029	13.5806	-158.5496	
18:13:32	47.46363	-122.3078	0.02	-17.12758	-1641.598	0	3	100	0	4	144.4252	13.63467	-170.4785	
18:13:34	47.46363	-122.3078	0.02	-13.4025	-1025.287	0	3	100	0	4	129.6031	11.16573	178.5147	
18:13:35	47.46363	-122.3078	0.02	-8.673906	-497.0911	0	3	100	0	4	112.4901	6.712111	170.4238	
18:13:37	47.46363	-122.3078	0.02	-8.673906	-497.0911	0	3	100	0	5	95.4621	3.788236	165.46	
18:13:39	47.46363	-122.3078	0.02	-8.673906	-497.0911	0	3	100	0	4	78.76402	-0.2192771	161.5836	
18:13:40	47.46363	-122.3078	0.02	-7.378354	-72.86258	0	3	100	0	4	11.94916	-2.747787	0.9231631	
18:13:42	47.46363	-122.3078	0.02	10.09241	2033.891	0	3	100	0	4	-0.8749786	3.369158	88.00901	
18:13:44	47.46363	-122.3078	0.02	22.17863	2561.771	0	3	100	0	4	0.07440513	-0.9356871	170.1312	
18:13:46	47.46363	-122.3078	0.02	23.34224	2188.827	0	3	100	0	4	0.6846218	-0.6093605	178.9436	
18:13:47	47.46363	-122.3078	0.02	19.38091	1665.473	0	3	100	0	5	0.6217146	-0.5185213	-179.5909	
18:13:49	47.46363	-122.3078	0.02	15.02835	1277.911	0	3	100	0	4	0.6198297	-0.525923	-179.4722	
18:13:51	47.46363	-122.3078	0.02	11.82641	1030.211	0.14	3	100	0	7	0.6306524	-0.5156851	179.7713	
18:13:52	47.46362	-122.3078	0.02	9.684418	862.8342	1.91	3	100	0	44	0.7652341	1.139468	171.0038	
18:13:54	47.46357	-122.3077	0.021	8.120877	730.5199	6.22	6.235456	100	0	72	2.205711	2.302066	167.468	
18:13:56	47.46341	-122.3077	0.078	7.190428	799.1853	14.12	14.13514	100	0	98	20.60576	11.03949	166.7784	
18:13:57	47.46318	-122.3077	8.419	14.314	961.6141	13.92	13.6223	100	0	98	-43.71344	15.57635	-178.0161	
18:13:59	47.4629	-122.3077	14.034	18.37424	846.2769	19.93	18.12368	100	0	99	10.27914	13.23296	172.3538	
18:14:01	47.46258	-122.3076	22.94	27.16049	1395.221	20.21	18.72821	100	0	98	0.5950633	30.06999	172.3821	
18:14:03	47.46229	-122.3075	40.881	41.93792	1048.815	18.98	17.48695	100	0	95	8.529604	24.35775	171.7368	
18:14:04	47.46196	-122.3074	45.067	47.19043	244.1914	24.34	21.22937	100	0	95	-1.400704	-0.2996007	168.6978	
18:14:06	47.46161	-122.3073	43.27	46.51259	241.565	28.15	25.63587	100	0	95	15.67577	-0.6128383	168.4571	
18:14:08	47.46118	-122.3072	43.009	45.64968	251.507	30	27.49928	100	0	95	-4.063621	0.1830941	169.0556	
18:14:10	47.46067	-122.3071	45.095	46.60041	245.0333	29.93	27.40414	100	0	95	-4.154693	0.3941247	164.5116	
18:14:11	47.46025	-122.3069	47.004	48.33023	292.1055	29.56	26.49423	100	0	95	4.436644	0.6920695	167.1326	
18:14:13	47.45983	-122.3066	49.74	50.51507	134.5943	24.69	20.96833	100	0	16	-1.566269	-1.742739	146.8957	
18:14:15	47.45953	-122.3064	49.54	50.6218	84.41444	21.43	17.70316	100	0	16	4.227859	-3.294508	143.8659	
18:14:16	47.45926	-122.3062	49.175	50.05462	46.45451	19.52	15.98168	100	0	16	16.27995	-2.445602	147.7467	
18:14:18	47.45901	-122.306	49.03	49.33242	6.868418	18.08	14.40698	100	0	16	16.01497	-2.791864	161.4673	
18:14:20	47.45875	-122.3059	49.003	49.11916	6.950817	16.65	13.48441	100	0	16	14.75552	-2.342471	176.7784	
18:14:22	47.4585	-122.3059	49.174	49.38057	41.5369	15.37	12.51951	100	0	16	-1.681379	-0.4582067	-176.6039	
18:14:23	47.45826	-122.3059	48.602	48.67916	-135.4089	14.52	11.15123	100	0	17	-29.81927	-4.345586	167.0741	
18:14:25	47.45808	-122.3057	45.512	46.02905	-0.271048	15.27	11.87773	100	0	16	-2.520616	0.1241093	143.0475	
18:14:27	47.45788	-122.3055	44.208	44.60136	-118.4397	14.69	11.34324	100	0	16	32.45919	-0.1170189	142.9769	
18:14:29	47.45768	-122.3053	39.529	39.53418	-309.7318	15.93	12.4141	100	0	16	37.58216	-8.100141	-178.2152	
18:14:30	47.45744	-122.3054	36.349	36.91766	41.23889	15.82	14.79828	100	0	16	8.38128	1.579892	-130.5368	
18:14:32	47.45727	-122.3057	37.591	37.26334	-145.6837	13.93	13.34294	100	0	16	-21.62123	-3.725577	-129.5499	
18:14:34	47.45708	-122.3059	33.939	34.335	-93.47127	16.02	14.13205	100	0	36	-1.324579	-2.900562	-141.8639	
18:14:35	47.45689	-122.3061	34.003	34.23741	76.69133	16.37	14.81546	100	0	36	-1.33257	3.614744	-140.6787	
18:14:37	47.4567	-122.3062	35.245	35.06122	8.02225	16.31	14.66297	100	0	36	-0.4640911	1.290936	-142.1636	
18:14:39	47.45646	-122.3065	35.471	35.43801	18.86001	17.24	15.58323	100	0	62	-0.0171518	0.8851299	-142.7794	
18:14:41	47.45621	-122.3067	36.41	36.50746	145.4913	20.57	18.86504	100	0	82	-0.4112351	3.340621	-143.8223	
18:14:42	47.45593	-122.307	39.1	38.90997	116.2899	23.37	21.64454	100	0	80	-6.436591	1.950932	-144.1087	
18:14:44	47.4556	-122.3073	41.003	40.812	74.16895	25.38	23.45173	100	0	83	-10.18388	0.4187935	-148.9656	
18:14:46	47.45524	-122.3075	42.094	42.16994	71.80267	26.83	24.65732	100	0	80	-10.92656	0.1410421	-154.4955	
18:14:47	47.45485	-122.3077	42.875	43.00116	48.45165	27.75	25.32246	100	0	81	-14.62162	0.0009801321	-161.1099	
18:14:49	47.45438	-122.3079	43.334	43.46368	27.38234	28.58	25.81992	100	0	80	-16.91409	-0.1064113	-168.1404	
18:14:51	47.45398	-122.308	43.543	43.71894	54.33009	28.86	25.94765	100	0	81	-0.4246234	0.2398706	-175.6888	
18:14:53	47.45355	-122.308	44.302	44.36481	40.9636	29.02	26.20156	100	0	71	2.701846	0.0307108	-173.559	
18:14:54	47.45311	-122.308	45.253	45.30225	65.45354	27.27	24.55261	100	0	63	-2.306079	0.2779385	-174.6482	
18:14:56	47.4527	-122.3081	46.483	46.33234	8.641956	24.47	21.72929	100	0	4	0.3420464	-0.5027039	179.5839	
18:14:58	47.45232	-122.3081	47.636	47.53069	84.80188	19.67	16.9042	100	0	16	-1.904099	3.63972	-175.5917	
18:15:00	47.45204	-122.3082	47.446	47.4262	-92.29706	18.5	15.78247	100	0	33	-0.3423305	-1.823668	-174.1764	
