Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
10:03:23	0	0	0	-0.357482	-20.47739	0	3	33	0	50	2.100903	-2.269453	-63.56376	
10:03:25	0	0	0	0.6342973	22.11845	0	3	43	0	50	2.092538	-2.382603	-63.60297	
10:03:27	0	0	0	0.5893309	5.265518	0	3	50	0	50	2.049209	-2.442739	-63.60085	
10:03:29	0	0	0	0.4054331	-3.594821	0	3	56	0	50	2.018312	-2.548223	-63.58608	
10:03:30	0	0	0	0.3087239	-3.547521	0	3	61	0	50	2.035232	-2.610413	-63.57019	
10:03:32	0	0	0	0.08700446	-6.62004	0	3	66	0	50	2.080732	-2.555642	-63.5336	
10:03:34	0	0	0	0.2832232	3.735917	0	3	69	0	50	2.08668	-2.548014	-63.45322	
10:03:35	0	0	0	0.1900531	-2.115748	0	3	73	0	50	2.092743	-2.550417	-63.48544	
10:03:37	0	0	0	0.2631177	4.02619	0	3	75	0	50	2.044334	-2.605304	-63.51901	
10:03:39	0	0	0	0.05628337	-8.666031	0	3	78	0	50	2.040766	-2.52325	-63.48245	
10:03:40	0	0	0	0.4333836	11.38685	0	3	80	0	50	2.072725	-2.418343	-63.49245	
10:03:42	0	0	0	0.08102916	-8.99047	0	3	82	0	50	2.08933	-2.369053	-63.49241	
