Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
21:07:13	0	0	0	-0.1881604	-3.354118	0	3	100	0	4	7.237677	1.081304	-23.67592	
21:07:14	0	0	0	-0.4935797	-7.809803	0	3	100	0	4	7.211704	1.07799	-23.63402	
21:07:16	0	0	0	-0.2948186	0.2206848	0	3	100	0	4	7.222484	1.004248	-23.60155	
21:07:18	0	0	0	-0.3125736	-5.309765	0	3	100	0	4	7.243424	0.9873863	-23.43711	
21:07:19	0	0	0	-0.1888552	-1.386703	0	3	100	0	4	7.280921	1.067288	-23.38936	
21:07:21	0	0	0	-0.1647897	-4.607504	0	3	100	0	4	7.293169	1.08737	-23.3146	
21:07:23	0	0	0	-0.3735414	-13.36207	0	3	100	0	4	7.254184	1.116862	-23.32728	
21:07:25	0	0	0	-0.561316	-13.6039	0	3	100	0	4	7.233839	1.157796	-23.50792	
21:07:26	0	0	0	-0.2042716	7.451876	0	3	100	0	5	7.226857	1.122896	-23.36364	
