Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:40:34	0	0	0	-0.4209834	-39.6461	0	3	100	0	50	1.51814	1.325086	-122.1002	
14:40:36	0	0	0	-0.07305245	-9.34564	0	3	100	0	50	1.551414	1.385342	-122.1172	
14:40:37	0	0	0	0.2759324	2.934432	0	3	100	0	50	1.566993	1.378283	-122.0504	
14:40:38	0	0	0	0.2506737	-4.312899	0	3	100	0	50	1.537487	1.34077	-122.0011	
14:40:39	0	0	0	0.2094799	-9.954096	0	3	100	0	50	1.544025	1.349433	-121.9366	
14:40:40	0	0	0	0.01373085	-19.34271	0	3	100	0	50	1.538483	1.369849	-121.9248	
14:40:42	0	0	0	0.1242563	-9.321966	0	3	100	0	50	1.507412	1.399854	-121.8351	
14:40:43	0	0	0	0.05991486	-10.63035	0	3	100	0	50	1.502141	1.365872	-121.7335	
14:40:44	0	0	0	0.6145445	12.08038	0	3	100	0	50	1.517066	1.375106	-121.6464	
14:40:45	0	0	0	0.7041407	5.074092	0	3	100	0	50	1.355684	1.291277	-121.5662	
14:40:46	0	0	0	0.6245105	-3.550536	0	3	100	0	50	1.509898	1.260933	-121.3931	
14:40:48	0	0	0	0.6499627	-4.815152	0	3	100	0	50	1.795275	1.261168	-121.165	
14:40:49	0	0	0	0.7207348	-1.784657	0	3	100	0	50	1.47665	1.307397	-121.0437	
14:40:50	0	0	0	1.024489	9.066802	0	3	100	0	50	1.510893	1.347146	-120.9787	
14:40:51	0	0	0	1.590896	24.84345	0	3	100	0	50	1.517779	1.363178	-120.882	
14:40:52	0	0	0	1.824533	20.68853	0	3	100	0	50	1.525926	1.287617	-120.7611	
14:40:54	0	0	0	1.753786	4.973334	0	3	100	0	50	1.509328	1.214198	-120.6038	
14:40:55	0	0	0	1.354486	-17.49643	0	3	100	0	50	1.483433	1.219186	-120.5041	
14:40:56	0	0	0	1.304101	-11.83982	0	3	100	0	50	1.499267	1.223389	-120.3833	
14:40:57	0	0	0	1.158823	-15.46987	0	3	100	0	50	1.532647	1.244136	-120.254	
