Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
12:52:13	0	0	0	-0.2326599	0.6288481	0	3	54	0	50	9.365041	-4.675937	-72.30849	
12:52:15	0	0	0	-0.05621229	10.62213	0	3	63	0	50	9.362935	-4.647298	-72.72403	
12:52:17	0	0	0	0.001754326	-0.2796833	0	3	70	0	50	9.38179	-4.639799	-73.06438	
12:52:18	0	0	0	-0.5108391	-20.64425	0	3	74	0	50	9.386233	-4.636626	-73.26976	
12:52:20	0	0	0	-0.3522454	-7.898527	0	3	78	0	50	9.359714	-4.702917	-73.41558	
12:52:22	0	0	0	-0.2459493	-2.302828	0	3	81	0	50	9.331082	-4.683329	-73.41965	
12:52:23	0	0	0	0.05644739	6.180857	0	3	83	0	50	9.32163	-4.720246	-73.40617	
12:52:25	0	0	0	-0.2309391	-8.890845	0	3	85	0	50	9.34212	-4.675266	-73.37379	
12:52:27	0	0	0	-0.1162082	-2.633231	0	3	87	0	50	9.325318	-4.710683	-73.32901	
12:52:30	0	0	0	-0.4265885	-11.12463	0	3	88	0	50	9.234116	-4.777619	-73.10742	
12:52:32	0	0	0	-0.390579	-5.369573	0	3	89	0	50	9.249442	-4.828223	-72.96487	
12:52:33	0	0	0	-0.2091743	-1.309813	0	3	90	0	50	9.263075	-4.896028	-72.76283	
12:52:35	0	0	0	-0.2366035	-2.847081	0	3	91	0	50	9.275179	-4.861015	-72.68818	
12:52:37	0	0	0	-0.4363538	-15.03894	0	3	92	0	50	9.249012	-4.827542	-72.58632	
12:52:38	0	0	0	-0.8695047	-18.92909	0	3	92	0	50	9.26977	-4.774891	-72.45354	
12:52:40	0	0	0	-0.4947826	4.733135	0	3	92	0	50	9.243112	-4.809878	-72.38962	
12:52:42	0	0	0	-0.4618276	0.2258142	0	3	93	0	50	9.236768	-4.794903	-72.33231	
12:52:43	0	0	0	-0.3732995	3.243351	0	3	93	0	50	9.280133	-4.755493	-72.0831	
12:52:45	0	0	0	-0.3136168	1.556543	0	3	94	0	50	2.811533	-4.827594	-72.45702	
12:52:47	0	0	0	-0.6511065	-16.8189	0	3	94	0	50	18.00318	-4.860657	-71.99647	
12:52:49	0	0	0	-0.4559661	0.1383442	0	3	94	0	50	15.35059	-4.714322	-72.45477	
12:52:50	0	0	0	-0.2582794	5.79017	0	3	95	0	50	8.077976	-4.706712	-72.80061	
12:52:52	0	0	0	-0.5163303	0.7747741	0	3	95	0	50	10.08211	-4.647307	-72.68814	
12:52:54	0	0	0	-0.5041375	-1.213637	0	3	95	0	50	10.10703	-4.652284	-72.633	
12:52:55	0	0	0	-0.5054557	2.128626	0	3	95	0	50	10.0992	-4.686646	-72.6023	
12:52:57	0	0	0	-0.4240158	5.589316	0	3	95	0	50	10.07929	-4.694332	-72.58279	
12:52:59	0	0	0	-0.4524859	1.068232	0	3	96	0	50	10.09807	-4.739495	-72.53082	
12:53:00	0	0	0	-0.707226	-7.25083	0	3	95	0	50	10.11718	-4.742757	-72.45717	
12:53:02	0	0	0	-0.5268979	3.393456	0	3	95	0	50	10.08863	-4.828892	-72.42404	
12:53:04	0	0	0	-0.363884	10.51694	0	3	95	0	50	10.05343	-4.815611	-72.32038	
12:53:05	0	0	0	-0.1219898	13.77625	0	3	95	0	50	10.02332	-4.810855	-72.27094	
12:53:07	0	0	0	-0.2375154	-0.8843208	0	3	95	0	50	10.0709	-4.811199	-72.22638	
12:53:09	0	0	0	-0.1417598	4.845329	0	3	96	0	50	10.04487	-4.851779	-72.23859	
12:53:10	0	0	0	-0.1647394	-0.04359828	0	3	96	0	50	10.04358	-4.870562	-72.21391	
12:53:12	0	0	0	-0.4076641	-8.799831	0	3	96	0	50	10.03753	-4.782378	-72.15815	
12:53:14	0	0	0	-0.3056432	-0.03639615	0	3	96	0	50	10.0608	-4.768902	-72.17885	
12:53:16	0	0	0	-0.4352599	-1.865197	0	3	96	0	50	10.03838	-4.718377	-72.175	
12:53:17	0	0	0	-0.4437201	-0.6744087	0	3	97	0	50	10.01546	-4.726551	-72.19072	
12:53:19	0	0	0	-0.2945318	5.068765	0	3	96	0	50	10.04776	-4.664093	-72.25104	
12:53:21	0	0	0	-0.7025662	-15.50375	0	3	96	0	50	10.06985	-4.664172	-72.29064	
12:53:22	0	0	0	-0.3163338	11.01099	0	3	96	0	50	10.05753	-4.658082	-72.31239	
12:53:24	0	0	0	-0.6525688	-9.165323	0	3	96	0	50	10.04675	-4.692091	-72.33854	
12:53:26	0	0	0	-0.4487716	3.760537	0	3	97	0	50	10.07439	-4.659314	-72.32574	
12:53:27	0	0	0	-0.03870554	17.43513	0	3	97	0	50	10.0761	-4.755891	-72.31636	
12:53:29	0	0	0	-0.5251485	-12.26632	0	3	97	0	50	10.07066	-4.746435	-72.30299	
12:53:31	0	0	0	-0.5658416	-6.657828	0	3	97	0	50	10.13675	-4.73029	-72.32877	
12:53:32	0	0	0	-0.5138513	0.9837168	0	3	97	0	50	10.11163	-4.705569	-72.31266	
12:53:34	0	0	0	-0.6673862	-8.470214	0	3	98	0	50	10.07636	-4.75249	-72.28296	
12:53:36	0	0	0	-0.5341865	3.696176	0	3	97	0	50	10.05804	-4.757496	-72.28032	
12:53:37	0	0	0	-0.3551714	6.253297	0	3	97	0	50	10.06882	-4.760711	-72.26659	
12:53:39	0	0	0	-0.5465384	-3.211157	0	3	97	0	50	10.05552	-4.766508	-72.27199	
12:53:41	0	0	0	-0.8723658	-12.6834	0	3	97	0	50	10.0498	-4.775959	-72.24516	
12:53:42	0	0	0	-0.7200918	0.8807914	0	3	97	0	50	10.00856	-4.738522	-72.22539	
12:53:44	0	0	0	-0.4057647	12.57278	0	3	97	0	50	10.02627	-4.771355	-72.23762	
12:53:46	0	0	0	-0.4703615	3.022787	0	3	96	0	50	10.06205	-4.683399	-72.20676	
12:53:47	0	0	0	-0.4402012	1.99479	0	3	96	0	50	9.999307	-4.67258	-72.21942	
12:53:49	0	0	0	-0.5242701	1.266656	0	3	96	0	50	9.978247	-4.635215	-72.2899	
12:53:51	0	0	0	-0.345917	9.400879	0	3	96	0	50	9.98479	-4.662594	-72.27829	
12:53:53	0	0	0	-0.2054891	9.094296	0	3	96	0	50	9.976765	-4.698794	-72.2865	
12:53:54	0	0	0	-0.3200039	-0.1928041	0	3	95	0	50	9.986712	-4.701616	-72.32537	
12:53:56	0	0	0	-0.003022965	12.97471	0	3	96	0	50	9.991058	-4.666466	-72.33059	
12:53:58	0	0	0	-0.198879	-2.703195	0	3	96	0	50	10.01688	-4.650443	-72.33863	
12:53:59	0	0	0	-0.17137	0.8690884	0	3	96	0	50	9.993814	-4.646436	-72.36533	
12:54:01	0	0	0	-0.2182527	-2.963905	0	3	96	0	50	10.00247	-4.640983	-72.36546	
12:54:03	0	0	0	-0.197045	-3.294595	0	3	95	0	50	10.00412	-4.641049	-72.35757	
12:54:04	0	0	0	-0.5028523	-14.51582	0	3	95	0	50	9.99379	-4.643327	-72.34916	
12:54:06	0	0	0	-0.4733524	-5.139436	0	3	95	0	50	9.969314	-4.670339	-72.36743	
12:54:08	0	0	0	-0.5253507	-5.601685	0	3	95	0	50	9.986285	-4.660199	-72.36848	
12:54:09	0	0	0	-0.2973028	8.249694	0	3	95	0	50	9.9975	-4.624632	-72.38937	
12:54:11	0	0	0	-0.4681728	-2.649955	0	3	95	0	50	10.02077	-4.659343	-72.40296	
12:54:13	0	0	0	-0.4863455	-4.009868	0	3	94	0	50	10.0254	-4.724297	-72.38699	
12:54:14	0	0	0	-0.4606768	1.265907	0	3	95	0	50	9.992241	-4.778168	-72.34209	
12:54:16	0	0	0	-0.4636396	2.706992	0	3	95	0	50	10.01249	-4.790012	-72.32034	
12:54:18	0	0	0	-0.8367565	-12.89588	0	3	94	0	50	10.02984	-4.833531	-72.28998	
12:54:19	0	0	0	-1.198414	-15.77797	0	3	95	0	50	10.01627	-4.896697	-72.2402	
12:54:21	0	0	0	-1.015402	-1.532521	0	3	95	0	50	9.992216	-4.827589	-72.18663	
12:54:23	0	0	0	-0.5854887	15.49025	0	3	95	0	50	9.985033	-4.791107	-72.1628	
12:54:25	0	0	0	-1.083018	-13.37295	0	3	95	0	50	10.01808	-4.790521	-72.17236	
12:54:26	0	0	0	-1.11153	-5.76273	0	3	96	0	50	10.01317	-4.722368	-72.17834	
12:54:28	0	0	0	-0.8164594	11.75033	0	3	95	0	50	9.964027	-4.746362	-72.20762	
12:54:30	0	0	0	-0.4204018	19.19426	0	3	96	0	50	9.985772	-4.709478	-72.18851	
12:54:31	0	0	0	-0.6275059	-0.7025557	0	3	96	0	50	9.981454	-4.743579	-72.20666	
12:54:33	0	0	0	-0.5503312	1.472332	0	3	96	0	50	12.22837	-4.840376	-72.19466	
