Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
15:31:50	-6.729535	38.94578	136.906	0.5707312	0	0.11	3	100	0	4	-2.362239	-0.9797883	-72.2338	
15:31:52	-6.729542	38.94578	136.172	0.5707312	0	0.14	3	100	0	5	-2.532665	0.5132543	-73.47146	
15:31:53	-6.729542	38.94578	135.966	0.5707312	0	0.22	3	100	0	5	-1.845744	0.08535069	-73.83301	
15:31:55	-6.729543	38.94578	135.649	0.5707312	0	0.06	3	100	0	4	-1.879273	-0.3054956	-74.19791	
15:31:57	-6.729543	38.94578	135.926	0.5707312	0	0.08	3	100	0	5	-1.671025	-0.5171694	-74.53131	
15:31:58	-6.729542	38.94578	136.044	0.5707312	0	0.13	3	100	0	4	-1.939308	-0.8150251	-74.47053	
15:32:00	-6.729539	38.94578	136.068	0.5707312	0	0.03	3	100	0	4	-2.468601	-0.9362849	-74.12508	
15:32:02	-6.729537	38.94577	136.105	0.5707312	0	0.07	3	100	0	4	-3.015016	-1.048431	-73.69129	
15:32:03	-6.729535	38.94577	136.334	0.5707312	0	0.16	3	100	0	5	-2.461377	-1.272164	-72.92126	
15:32:05	-6.729533	38.94577	136.441	0.5707312	0	0.03	3	100	0	4	-1.635222	-1.543399	-72.20642	
15:32:07	-6.729531	38.94576	136.405	0.5707312	0	0.19	3	100	0	5	-1.74191	-1.372232	-71.84608	
15:32:08	-6.72953	38.94576	136.414	0.5707312	0	0.03	3	100	0	5	-1.667183	-1.433616	-71.58403	
15:32:10	-6.72953	38.94576	136.366	0.5707312	0	0.09	3	100	0	4	-1.432166	-1.371197	-71.21684	
15:32:12	-6.729529	38.94576	136.509	0.5707312	0	0.08	3	100	0	5	-1.992872	-1.341708	-71.02978	
15:32:13	-6.729527	38.94575	136.679	0.5707312	0	0.06	3	100	0	4	-2.395686	-1.38866	-70.85507	
15:32:15	-6.729525	38.94575	136.907	0.5707312	0	0.09	3	100	0	4	-3.191843	-1.38347	-71.02854	
15:32:17	-6.729522	38.94575	136.845	0.5707312	0	0.26	3	100	0	4	-2.938649	-1.321978	-71.07357	
15:32:19	-6.729521	38.94575	136.913	0.5707312	0	0.04	3	100	0	4	-1.210247	-1.478086	-70.93457	
15:32:20	-6.729522	38.94575	136.755	0.5707312	0	0.06	3	100	0	5	1.71917	-1.408946	-71.46426	
15:32:22	-6.729522	38.94575	136.624	0.5707312	0	0.09	3	100	0	5	0.7838563	0.3686754	-71.11865	
15:32:24	-6.729523	38.94575	136.28	0.5707312	0	0.11	3	100	0	4	-0.7524923	0.4951415	-72.76735	
15:32:25	-6.729524	38.94575	136.157	0.5707312	0	0.16	3	100	0	5	-0.121116	-1.240779	-74.3298	
15:32:27	-6.729525	38.94576	135.879	0.5707312	0	0.11	3	100	0	4	-1.10129	2.563936	-74.73917	
15:32:29	-6.729526	38.94576	135.77	0.5707312	0	0.03	3	100	0	4	-0.881413	1.123669	-77.20496	
15:32:30	-6.729527	38.94575	135.617	0.5707312	0	0.06	3	100	0	4	-0.5744273	0.6449556	-78.17324	
15:32:32	-6.729527	38.94575	135.213	0.5707312	0	0.01	3	100	0	4	-0.309636	0.2669166	-78.66138	
15:32:34	-6.729527	38.94575	135.063	0.5707312	0	0.16	3	100	0	4	-0.72973	0.03688269	-79.27053	
15:32:35	-6.729525	38.94575	135.261	0.5707312	0	0.19	3	100	0	4	-6.355864	-0.241454	-81.26289	
15:32:37	-6.729523	38.94575	135.875	0.5707312	0	0.08	3	100	0	4	-13.89499	-1.121666	-82.66779	
15:32:39	-6.729522	38.94576	136.851	0.5707312	0	0.03	3	100	0	4	-20.79231	-0.9827217	-82.64863	
15:32:40	-6.729522	38.94576	137.224	0.5707312	0	0.02	3	100	0	4	-25.75194	-0.7976158	-82.84296	
15:32:42	-6.729522	38.94576	137.986	0.5707312	0	0.09	3	100	0	4	-29.87939	0.3755558	-80.74362	
15:32:44	-6.729521	38.94576	138.56	0.5707312	0	0.04	3	100	0	4	-29.85096	0.7110158	-79.08819	
15:32:46	-6.729524	38.94576	139.163	0.5707312	0	0.04	3	100	0	4	-22.92782	2.152976	-74.39851	
15:32:47	-6.729522	38.94576	138.947	0.5707312	0	0.11	3	100	0	4	-16.42958	1.657541	-72.27055	
15:32:49	-6.729522	38.94576	138.719	0.5707312	0	0.03	3	100	0	4	-12.30329	0.8806582	-71.30988	
15:32:51	-6.729522	38.94576	138.265	0.5707312	0	0.08	3	100	0	5	-8.020992	0.1357558	-71.10278	
15:32:52	-6.729522	38.94576	137.756	0.5707312	0	0.14	3	100	0	4	-4.092824	-0.6881782	-71.74329	
15:32:54	-6.72952	38.94575	137.465	0.5707312	0	0.09	3	100	0	5	-2.27834	-1.128351	-72.23934	
15:32:56	-6.729517	38.94575	137.362	0.5707312	0	0.08	3	100	0	4	-1.406875	-1.439189	-72.51129	
