Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
11:50:29	0	0	0	-0.5284548	-7.799339	0	3	100	0	4	0.223493	0.8457826	158.0709	
11:50:31	0	0	0	1.759754	133.264	0	3	100	0	4	0.2285897	0.8557471	158.093	
11:50:32	0	0	0	1.344917	3.213673	0	3	100	0	4	0.2093192	0.8124748	158.0901	
11:50:34	0	0	0	1.379267	-6.133533	0	3	100	0	4	0.2516991	0.7695583	158.0969	
11:50:36	0	0	0	1.210161	-17.0237	0	3	100	0	4	0.2637355	0.7717353	158.1037	
11:50:37	0	0	0	1.210161	-2.592811	0	3	100	0	4	0.2683739	0.7908062	158.1327	
11:50:39	0	0	0	1.067479	-12.77159	0	3	100	0	4	0.252064	0.7719418	158.1161	
11:50:41	0	0	0	1.305283	7.727777	0	3	100	0	4	0.2541984	0.8112667	158.0876	
11:50:42	0	0	0	1.413617	29.51992	0	3	100	0	4	0.2351286	0.8257489	158.089	
11:50:44	0	0	0	1.091259	-31.52615	0	3	100	0	4	0.2268526	0.8001924	158.086	
11:50:46	0	0	0	1.167885	-0.6277424	0	3	100	0	4	0.2152094	0.7590578	158.0734	
11:50:47	0	0	0	0.8508122	-5.169426	0	3	100	0	4	0.2421828	0.802664	158.0544	
11:50:49	0	0	0	0.9036577	-0.8420726	0	3	100	0	4	0.2221737	0.807768	158.0499	
11:50:51	0	0	0	0.8851618	3.129931	0	3	100	0	4	0.2360058	0.8160229	158.0541	
11:50:52	0	0	0	1.05691	14.50045	0	3	100	0	4	0.2211933	0.766577	158.036	
11:50:54	0	0	0	0.9882104	1.541915	0	3	100	0	4	0.2047115	0.8133705	157.9994	
11:50:56	0	0	0	1.062194	3.107039	0	3	100	0	4	0.1783118	0.7894814	157.9698	
11:50:57	0	0	0	1.08069	-1.811714	0	3	100	0	4	0.1895859	0.8086826	157.9946	
