Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:57:12	0	0	0	16.38714	-77.92866	0	3	100	0	43	-0.7266296	-6.959696	119.677	
14:57:13	0	0	0	16.8182	-24.87856	0	3	100	0	38	-0.6829592	-6.990002	119.7065	
14:57:15	0	0	0	17.18926	-0.5954214	0	3	100	0	34	-0.6763923	-7.085693	119.6589	
14:57:17	0	0	0	17.4738	8.456802	0	3	100	0	30	-0.6455727	-7.088012	119.4476	
14:57:19	0	0	0	17.56566	5.420157	0	3	100	0	25	-0.6024173	-7.069915	119.3483	
14:57:20	0	0	0	17.89283	12.53694	0	3	100	0	21	-0.5839286	-7.106838	119.2363	
14:57:22	0	0	0	17.46093	-11.96514	0	3	100	0	17	-0.5763922	-7.059297	119.1599	
14:57:24	0	0	0	17.08695	-20.04011	0	3	100	0	12	-0.5994788	-6.959737	119.2134	
14:57:25	0	0	0	17.37467	-0.1716494	0	3	100	0	12	-0.5772961	-6.946373	119.3336	
14:57:27	0	0	0	17.41421	0.8313578	0	3	100	0	12	-0.6083642	-6.904143	119.5512	
14:57:29	0	0	0	17.09133	-12.00836	0	3	100	0	12	-0.6227843	-6.877795	119.6272	
14:57:31	0	0	0	17.31601	1.497695	0	3	100	0	12	-0.6070758	-6.890601	119.701	
14:57:32	0	0	0	17.23617	-3.448164	0	3	100	0	12	-0.6121726	-6.897124	119.8743	
14:57:34	0	0	0	17.27494	-0.5488953	0	3	100	0	12	-0.6282232	-6.893278	119.8839	
14:57:36	0	0	0	17.30736	0.3992283	0	3	100	0	12	-0.6097403	-6.882654	119.8765	
14:57:37	0	0	0	17.67925	14.63338	0	3	100	0	12	-0.6125664	-6.859344	120.0372	
14:57:39	0	0	0	17.70418	6.449415	0	3	100	0	12	-0.6254936	-6.901796	120.1731	
14:57:41	0	0	0	17.33603	-12.24602	0	3	100	0	12	-0.610638	-6.950547	120.0514	
14:57:43	0	0	0	17.34461	-4.598831	0	3	100	0	12	-0.5917521	-6.988545	120.1207	
14:57:44	0	0	0	17.39381	0.1540077	0	3	100	0	12	-0.5711543	-7.032288	120.0022	
14:57:46	0	0	0	17.29817	-0.04073263	0	3	100	0	12	-0.5636258	-7.048707	119.7773	
14:57:48	0	0	0	17.52404	5.124415	0	3	100	0	12	-0.5305558	-7.111931	119.5956	
14:57:49	0	0	0	17.40665	-2.437887	0	3	100	0	12	-0.5321626	-7.04967	119.5534	
14:57:51	0	0	0	17.28699	-6.999461	0	3	100	0	12	-0.5440778	-7.083965	119.3751	
14:57:53	0	0	0	17.26268	-1.599816	0	3	100	0	12	-0.5390301	-7.101815	119.2479	
14:57:55	0	0	0	17.46543	4.326817	0	3	100	0	12	-0.5840391	-7.073134	119.1511	
14:57:56	0	0	0	17.66755	9.904832	0	3	100	0	12	-0.6050302	-7.023772	119.1313	
14:57:58	0	0	0	17.8299	11.03323	0	3	100	0	12	-0.6160759	-7.009223	119.1797	
14:58:00	0	0	0	17.96366	9.41583	0	3	100	0	12	-0.6333995	-6.994576	119.2456	
