Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
13:59:18	0	0	0	-1.148473	-39.88326	0	3.005158	72	0	98	0.6105558	-0.6888329	71.41819	
13:59:19	0	0	0	0.168298	18.24911	0	3	79	0	98	0.6105334	-0.6121719	71.35556	
13:59:21	0	0	0	0.0329389	-3.475907	0	3.009214	83	0	98	0.593956	-0.6318025	71.31435	
13:59:23	0	0	0	-0.09822995	-7.836037	0	3.005311	86	0	98	0.5641443	-0.6277513	71.23972	
13:59:24	0	0	0	0.2341076	4.050937	0	3.001835	88	0	98	0.5824761	-0.6546326	71.0864	
13:59:26	0	0	0	0.2824294	-1.011119	0	3.002485	90	0	98	0.6358289	-0.6962379	71.01707	
13:59:28	0	0	0	-0.01464888	-15.40118	0	3.013503	91	0	98	0.6510555	-0.6576409	70.92956	
13:59:29	0	0	0	0.05815764	-5.272615	0	3.000638	92	0	98	0.6712267	-0.5995244	70.75526	
13:59:31	0	0	0	0.2220974	1.208959	0	3.007555	93	0	98	0.6462221	-0.6656888	70.64297	
13:59:33	0	0	0	0.08152214	-7.254283	0	3.005239	94	0	98	0.6259302	-0.6958031	70.57026	
13:59:35	0	0	0	-0.234086	-15.30667	0	3.008163	95	0	98	0.6707382	-0.6303758	70.47092	
13:59:36	0	0	0	0.2423115	10.7451	0	3	95	0	98	0.6835138	-0.6218761	70.40166	
13:59:38	0	0	0	-0.1154912	-10.27736	0	3.006978	96	0	98	0.6749369	-0.6360952	70.38396	
13:59:40	0	0	0	-0.233103	-9.38103	0	3.006034	96	0	98	0.6500741	-0.5951079	70.34138	
13:59:41	0	0	0	-0.1441189	-3.015501	0	3.003452	96	0	98	0.6367825	-0.5491974	70.33102	
