Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
11:52:28	0	0	0	2.097965	55.60532	0	3	100	0	4	0.2554455	0.9225657	158.2778	
11:52:30	0	0	0	1.252438	-26.5653	0	3	100	0	4	0.266501	0.9397655	158.2582	
11:52:31	0	0	0	1.270934	-17.25511	0	3	100	0	4	0.2191128	0.8633609	158.162	
11:52:33	0	0	0	1.170527	-13.2024	0	3	100	0	4	0.2151965	0.8809163	158.0987	
11:52:35	0	0	0	1.410974	16.53768	0	3	100	0	4	0.2479376	0.9183342	158.0977	
11:52:36	0	0	0	0.8560967	-42.7151	0	3	100	0	4	0.2655703	0.9044819	158.0871	
11:52:38	0	0	0	1.268291	17.7152	0	3	100	0	4	0.2567851	0.8476802	158.0888	
11:52:40	0	0	0	0.6764221	-20.39646	0	3	100	0	4	0.222732	0.8238539	158.0589	
11:52:42	0	0	0	0.9987795	8.724153	0	3	100	0	4	0.2148343	0.7754948	157.9972	
11:52:43	0	0	0	1.154674	13.49394	0	3	100	0	4	0.1846811	0.742305	157.9275	
11:52:45	0	0	0	0.6103653	-26.93818	0	3	100	0	4	0.2048295	0.77592	157.8913	
11:52:47	0	0	0	1.226015	36.41174	0	3	100	0	4	0.2266152	0.795392	157.8593	
11:52:48	0	0	0	0.96443	13.27372	0	3	100	0	4	0.2032274	0.7943304	157.822	
11:52:50	0	0	0	1.204877	4.155794	0	3	100	0	4	0.2284081	0.8030455	157.8549	
