Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
14:54:23	0	0	0	16.32177	-51.15029	0	3	100	0	43	-0.92283	-7.150696	119.3841	
14:54:24	0	0	0	17.59952	26.63317	0	3	100	0	39	-0.8801704	-7.129526	119.3817	
14:54:26	0	0	0	17.93226	17.47933	0	3	100	0	34	-0.8943793	-7.120131	119.409	
14:54:28	0	0	0	17.53939	-9.177594	0	3	100	0	30	-0.8823147	-7.105083	119.355	
14:54:30	0	0	0	17.41229	-13.21725	0	3	100	0	26	-0.8885099	-7.051816	119.5407	
14:54:31	0	0	0	17.35361	-1.664021	0	3	100	0	44	-0.8509789	-7.065403	119.6234	
14:54:33	0	0	0	17.43433	-2.401284	0	3	100	0	40	-0.8436715	-7.159199	119.5604	
14:54:35	0	0	0	17.51726	0.03441848	0	3	100	0	36	-0.8488379	-7.162612	119.5037	
14:54:36	0	0	0	17.49842	-3.800617	0	3	100	0	31	-0.8387542	-7.135691	119.3629	
14:54:38	0	0	0	17.2763	-13.81073	0	3	100	0	27	-0.9034906	-7.149277	119.2772	
