Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
15:36:58	-6.729527	38.94576	134.918	-0.8120332	-57.34938	0.02	3	27	0	4	-12.63437	2.812822	-67.7515	
15:37:00	-6.729526	38.94576	134.905	0.1451276	5.972766	0.06	3	35	0	4	-12.58893	2.866108	-67.49149	
15:37:01	-6.729526	38.94576	134.825	0.192332	-9.615692	0.04	3	41	0	5	-12.5468	2.957681	-67.37946	
15:37:03	-6.729526	38.94576	134.851	0.3648244	-2.953839	0.09	3	47	0	5	-12.53049	3.009628	-67.44415	
15:37:05	-6.729526	38.94576	134.841	0.4931179	-6.111497	0.04	3	52	0	4	-12.49568	3.108031	-67.51241	
15:37:07	-6.729525	38.94576	134.933	0.3534993	-14.15683	0.07	3	56	0	4	-12.43125	3.079015	-67.48535	
15:37:08	-6.729525	38.94576	135.048	0.394755	-9.538798	0.06	3	60	0	5	-12.55334	3.102968	-67.50058	
15:37:10	-6.729525	38.94576	135.27	0.3415959	-13.28717	0.02	3	64	0	5	-12.45334	3.074597	-67.61047	
15:37:12	-6.729525	38.94576	135.377	0.2785921	-13.52708	0.04	3	67	0	5	-12.34555	3.125164	-67.62505	
15:37:13	-6.729525	38.94576	135.556	0.2685241	-9.399961	0.11	3	70	0	4	-12.32633	3.057061	-67.68508	
15:37:15	-6.729525	38.94576	135.748	0.5003541	-0.7091434	0.09	3	72	0	4	-12.33256	3.091606	-67.57706	
15:37:17	-6.729525	38.94576	135.85	0.533591	-3.226902	0.17	3	75	0	5	-12.30105	3.157126	-67.63715	
15:37:18	-6.729524	38.94576	135.946	0.3898685	-9.68343	0.07	3	77	0	4	-12.24531	2.997639	-67.64149	
15:37:20	-6.729525	38.94576	135.965	0.5123156	-3.297096	0.06	3	78	0	4	-12.30753	3.160596	-67.57401	
15:37:22	-6.729525	38.94576	136.009	0.7218789	3.826401	0.07	3	80	0	4	-12.19039	3.100934	-67.65862	
15:37:23	-6.729526	38.94576	136.135	0.767499	2.145749	0.01	3	82	0	5	-12.1995	3.123274	-67.68085	
15:37:25	-6.729526	38.94576	136.296	0.8667694	1.296473	0.08	3	83	0	5	-12.22623	3.057118	-67.76503	
15:37:27	-6.729526	38.94576	136.374	0.3599307	-21.5729	0.04	3	84	0	4	-12.18521	3.133276	-67.83927	
15:37:28	-6.729526	38.94576	136.527	-0.07014619	-29.07064	0.04	3	86	0	4	-12.22727	3.213791	-67.89141	
15:37:30	-6.729527	38.94575	136.526	-0.05327217	-12.8452	0.06	3	87	0	5	-12.40092	3.053256	-68.00299	
15:37:32	-6.729528	38.94575	136.544	0.2764329	5.987603	0.03	3	88	0	4	-12.35632	3.150259	-68.00803	
15:37:33	-6.729529	38.94575	136.491	0.1136255	-5.304798	0.16	3	89	0	4	-12.2844	3.138895	-68.07931	
15:37:35	-6.729529	38.94575	136.416	0.06316426	-5.303796	0.04	3	89	0	4	-12.44981	2.974627	-67.85075	
15:37:37	-6.72953	38.94575	136.351	0.3630659	6.506379	0.11	3	90	0	4	-12.41948	3.035987	-67.55522	
15:37:39	-6.72953	38.94575	136.417	0.3990866	2.497271	0.19	3	91	0	5	-12.44335	3.082453	-67.47549	
15:37:40	-6.729531	38.94575	136.513	0.02798565	-12.13673	0.07	3	92	0	4	-12.41553	2.939634	-67.23087	
15:37:42	-6.729532	38.94575	136.519	-0.1024935	-9.306106	0.06	3	92	0	4	-12.29494	2.997176	-67.1022	
15:37:44	-6.729532	38.94575	136.604	0.1971759	5.88246	0.04	3	93	0	5	-12.28418	2.911268	-67.03429	
15:37:45	-6.729533	38.94575	136.58	0.3813281	7.544452	0.13	3	93	0	4	-12.51896	2.907079	-67.03355	
15:37:47	-6.729532	38.94575	136.396	0.3942291	2.871394	0.03	3	94	0	5	-12.43017	2.900698	-66.95994	
15:37:49	-6.729533	38.94575	136.334	0.1969233	-5.448361	0.04	3	94	0	5	-12.51048	3.026318	-66.96623	
15:37:50	-6.729535	38.94575	136.138	0.5127512	11.00054	0.03	3	95	0	4	-12.36643	2.836262	-66.8968	
15:37:52	-6.729537	38.94575	135.804	0.2021067	-7.470605	0.06	3	95	0	4	-12.42849	2.843428	-66.79865	
15:37:54	-6.729538	38.94576	135.525	0.343801	1.70629	0.03	3	95	0	4	-12.53804	2.994892	-66.66071	
15:37:55	-6.729539	38.94576	135.308	0.2819015	-1.235601	0.03	3	96	0	4	-12.48769	3.013403	-66.50986	
15:37:57	-6.729541	38.94576	135.133	0.1595846	-7.031017	0.08	3	96	0	4	-12.46474	3.031045	-66.45373	
15:37:59	-6.72954	38.94576	135.033	0.2640634	0.3616232	0.07	3	96	0	4	-12.43408	3.024269	-66.48384	
15:38:00	-6.729539	38.94576	134.956	0.08577208	-5.662644	0.08	3	96	0	5	-12.47569	2.977549	-66.50162	
15:38:02	-6.729537	38.94576	134.797	0.1042831	-0.352498	0.03	3	97	0	4	-12.49725	2.863254	-66.47858	
15:38:04	-6.729536	38.94576	134.72	0.4705229	11.87647	0.04	3	97	0	4	-12.41848	2.999789	-66.49473	
15:38:06	-6.729535	38.94575	134.685	0.4139494	3.601096	0.22	3	97	0	4	-12.44452	2.921642	-66.43011	
15:38:07	-6.729535	38.94575	134.644	0.1769079	-8.455762	0.03	3	97	0	4	-12.44267	2.915748	-66.28517	
15:38:09	-6.729534	38.94575	134.487	0.05101734	-7.7283	0.04	3	97	0	5	-12.46401	2.902351	-66.13282	
15:38:11	-6.729535	38.94575	134.603	-0.1493839	-12.73203	0.03	3	97	0	5	-12.41208	2.845635	-66.05952	
15:38:12	-6.729535	38.94575	134.66	-0.1940646	-7.307305	0.04	3	98	0	5	-12.42003	2.984422	-66.03507	
15:38:14	-6.729534	38.94575	134.731	-0.2128746	-4.250484	0.06	3	98	0	4	-12.64068	2.831457	-66.04564	
15:38:16	-6.729533	38.94575	134.88	-0.1377157	3.209488	0.02	3	98	0	4	-12.5622	2.970848	-65.96984	
15:38:17	-6.729532	38.94575	135.017	-0.01651043	4.818494	0.04	3	98	0	4	-12.51691	2.985178	-66.12747	
15:38:19	-6.729533	38.94575	135.268	0.1594222	9.460482	0.06	3	98	0	4	-12.564	2.905408	-66.21274	
15:38:21	-6.729533	38.94575	135.363	0.5748832	18.67112	0.03	3	98	0	5	-12.60683	2.872444	-66.26965	
15:38:22	-6.729533	38.94575	135.333	0.3997897	-0.01807548	0.08	3	98	0	4	-12.50519	3.034608	-66.31953	
15:38:24	-6.729535	38.94575	135.441	0.1610969	-6.588615	0.03	3	98	0	4	-12.49904	2.998602	-66.39144	
15:38:26	-6.729535	38.94575	135.331	0.4611003	7.984236	0.09	3	98	0	4	-12.5824	2.879965	-66.37664	
15:38:27	-6.729536	38.94575	135.076	0.5848238	6.597732	0.04	3	99	0	4	-12.46386	3.148117	-66.52566	
15:38:29	-6.729537	38.94575	134.904	0.4199657	-3.860882	0.02	3	99	0	4	-12.53969	2.991086	-66.63394	
15:38:31	-6.729537	38.94575	134.812	0.404788	1.233536	0.12	3	99	0	4	-12.54048	2.946805	-66.65264	
15:38:33	-6.729537	38.94575	134.688	0.3553513	-3.799809	0.07	3	99	0	4	-12.63281	3.03819	-66.63479	
15:38:34	-6.729537	38.94575	134.547	0.04442093	-13.35564	0.06	3	99	0	4	-12.55539	3.123945	-66.77245	
15:38:36	-6.729537	38.94575	134.482	-0.1738972	-13.90592	0.17	3	99	0	5	-12.75624	2.956913	-66.83545	
15:38:38	-6.729537	38.94575	134.211	0.07218464	5.047644	0.03	3	99	0	4	-12.69818	3.200047	-66.96968	
15:38:39	-6.729538	38.94575	134.093	0.2679449	9.105141	0.09	3	99	0	4	-12.65974	3.033926	-66.8933	
15:38:41	-6.729539	38.94575	133.989	0.08958314	-3.10762	0.03	3	99	0	4	-12.68115	3.012997	-66.85775	
15:38:43	-6.72954	38.94576	133.798	0.2407854	3.636786	0.04	3	99	0	4	-12.68271	3.112405	-66.79659	
15:38:44	-6.729541	38.94576	133.642	0.3809013	7.316016	0.02	3	99	0	5	-12.68241	3.134096	-66.78091	
15:38:46	-6.72954	38.94576	133.592	0.25927	-2.390314	0.01	3	99	0	5	-12.70239	3.123816	-66.75358	
15:38:48	-6.729539	38.94576	133.855	0.6047111	12.64464	0.08	3	99	0	4	-12.7039	3.064388	-66.66275	
15:38:49	-6.729538	38.94576	133.959	0.3890936	-3.905093	0.12	3	99	0	4	-12.70549	2.953754	-66.64207	
15:38:51	-6.729537	38.94576	133.904	0.3571181	-5.332847	0.11	3	99	0	4	-12.70192	3.015011	-66.51042	
15:38:53	-6.729537	38.94576	133.961	-0.1663084	-21.96371	0.08	3	99	0	5	-12.65172	2.867588	-66.3961	
15:38:54	-6.729537	38.94576	134.096	-0.03606169	-4.208617	0.06	3	99	0	5	-12.58602	2.919348	-66.2691	
15:38:56	-6.729536	38.94576	134.104	0.04139857	-0.5917163	0.11	3	99	0	5	-12.71556	2.881161	-66.16892	
