Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
16:06:09	-6.795904	38.98526	132.363	0.05220788	-11.33497	0.5	3	65	0	50	0.5241772	1.500853	-3.257577	
16:06:10	-6.795904	38.98526	132.363	0.7738402	18.85571	0.5	3	74	0	51	0.5242239	1.449478	-3.24801	
16:06:12	-6.795905	38.98526	133.201	0.4771248	0.66422	0.5	3	79	0	52	0.484185	1.368232	-3.227709	
16:06:14	-6.795905	38.98526	133.201	0.2418995	-7.735818	0.5	3	82	0	52	0.501081	1.326206	-3.193388	
16:06:16	-6.795902	38.98526	132.506	0.3501534	4.258489	0.5	3	85	0	53	0.4764838	1.350823	-3.175297	
16:06:17	-6.795902	38.98526	132.864	0.3131163	2.852588	0.5	3	87	0	53	0.4916098	1.456854	-3.149246	
16:06:19	-6.795903	38.98526	134.342	0.4736915	8.29159	0.5	3	89	0	54	0.5135868	1.508163	-3.127034	
16:06:21	-6.795905	38.98526	135.068	0.2988957	-1.382973	0.39	3	90	0	54	0.4876414	1.511913	-3.093819	
16:06:22	-6.795907	38.98526	135.621	0.4014587	4.595865	0.11	3	91	0	55	0.4872436	1.534028	-3.10675	
16:06:24	-6.795909	38.98527	135.941	0.1923979	-7.577672	0.11	3	92	0	56	0.4902519	1.4527	-3.141423	
16:06:26	-6.795909	38.98527	136.572	-0.2915411	-21.8013	0.11	3	93	0	56	0.4908268	1.371463	-3.126321	
16:06:28	-6.795909	38.98527	136.212	-0.01777001	4.346384	0.14	3	94	0	57	0.5214989	1.375817	-3.12268	
16:06:29	-6.795909	38.98527	136.895	0.322722	15.37613	0.19	3	94	0	57	0.5631924	1.460067	-3.167517	
16:06:31	-6.795909	38.98527	136.613	0.2968358	6.583022	0.19	3	95	0	58	0.5427952	1.450849	-3.187634	
