Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
10:13:22	0	0	0	-0.4406952	-12.21892	0	3	100	0	50	15.87711	0.4400754	-57.57964	
10:13:23	0	0	0	0.5777357	19.67582	0	3	100	0	50	15.86445	0.4745789	-57.46183	
10:13:25	0	0	0	-0.1668524	-20.83188	0	3	100	0	50	15.83431	0.5439333	-57.34616	
10:13:27	0	0	0	-0.1592717	-12.32005	0	3	100	0	50	15.85346	0.6519693	-57.23571	
10:13:29	0	0	0	-0.1057133	-5.617921	0	3	100	0	50	15.86741	0.7633038	-57.19621	
10:13:30	0	0	0	-0.3184896	-11.52421	0	3	100	0	50	15.86024	0.8094842	-57.20049	
10:13:32	0	0	0	-0.428893	-12.94832	0	3	100	0	50	15.85038	0.8430354	-57.19966	
10:13:34	0	0	0	-0.4405784	-6.909864	0	3	100	0	50	15.79959	0.8465044	-57.24204	
10:13:35	0	0	0	-0.8314536	-21.50473	0	3	100	0	50	15.80335	0.8789744	-57.24451	
10:13:37	0	0	0	-0.9383125	-12.25167	0	3	100	0	50	15.79956	0.794471	-57.24662	
10:13:39	0	0	0	-0.8400862	-2.899005	0	3	100	0	50	15.76462	0.791647	-57.22115	
10:13:40	0	0	0	-0.5395045	8.727558	0	3	100	0	50	15.77707	0.7835683	-57.20287	
