Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
13:44:06	0	0	0	-0.5136779	1.860275	0	0	76	0	4	0.7304137	-0.600214	72.2403	
13:44:08	0	0	0	-0.02167009	19.54387	0	0	83	0	6	0.5469667	-0.515047	72.63939	
13:44:10	47.45875	-122.3111	57.43	58.30629	2114.998	28.35	0	87	0	4	-1.032897	0.2870201	79.90257	
13:44:11	47.45875	-122.3111	57.43	71.38076	1290.651	28.35	0	90	0	4	-1.977601	3.558218	82.86505	
13:44:13	47.45875	-122.3111	57.43	65.0068	290.493	28.35	0	91	0	4	-2.747663	5.859419	82.91527	
13:44:15	47.45875	-122.3111	57.43	58.61444	-124.852	28.35	0	93	0	4	-3.426868	7.555967	81.65733	
13:44:16	47.45875	-122.3111	57.43	56.36972	-148.4216	28.35	0	94	0	4	-4.04615	8.70824	79.64318	
13:44:18	47.45875	-122.3111	57.43	56.39581	-77.14646	28.35	0	95	0	4	-4.553285	9.451537	76.89887	
13:44:20	47.45875	-122.3111	57.43	56.88548	-30.24099	28.35	0	95	0	4	-4.890309	10.01637	73.82331	
13:44:21	47.45875	-122.3111	57.43	57.17154	-16.67772	28.35	0	96	0	4	-5.07541	10.42918	71.21196	
13:44:23	47.45875	-122.3111	57.43	57.24969	-17.10731	28.35	0	96	0	4	-5.114892	10.70681	68.77219	
13:44:25	47.45875	-122.3111	57.43	57.24995	-18.52917	28.35	0	97	0	4	-4.973115	10.88037	66.44662	
13:44:26	47.45875	-122.3111	57.43	57.24889	-17.83873	28.35	0	97	0	4	-4.768488	11.05421	64.77864	
13:44:28	47.45875	-122.3111	57.43	57.26199	-15.81949	28.35	0	97	0	4	-4.495089	11.17592	63.49829	
13:44:30	47.45875	-122.3111	57.43	57.28344	-13.39537	28.35	0	97	0	4	-4.084291	11.20762	62.47792	
13:44:32	47.45875	-122.3111	57.43	57.30556	-11.28735	28.35	0	98	0	4	-3.712796	11.26396	61.917	
13:44:33	47.45875	-122.3111	57.43	57.32428	-9.606908	28.35	0	98	0	4	-3.344544	11.28453	61.66235	
13:44:35	47.45875	-122.3111	57.43	57.34032	-8.083015	28.35	0	98	0	4	-2.90934	11.22347	61.70736	
13:44:37	47.45875	-122.3111	57.43	57.35447	-6.780508	28.35	0	98	0	4	-2.569585	11.19018	61.95234	
13:44:38	47.45875	-122.3111	57.43	57.36617	-5.755911	28.35	0	98	0	4	-2.268246	11.12937	62.35607	
13:44:40	47.45875	-122.3111	57.43	57.37591	-4.862493	28.35	0	98	0	4	-1.949479	11.00647	62.99035	
13:44:42	47.45875	-122.3111	57.43	57.38396	-4.148595	28.35	0	98	0	4	-1.730203	10.91895	63.61001	
13:44:43	47.45875	-122.3111	57.43	57.39024	-3.596285	28.35	0	99	0	4	-1.550689	10.81542	64.28544	
13:44:45	47.45875	-122.3111	57.43	57.39567	-3.083873	28.35	0	99	0	5	-1.38215	10.67373	65.08329	
13:44:47	47.45875	-122.3111	57.43	57.40051	-2.633785	28.35	0	99	0	4	-1.285736	10.57103	65.75848	
13:44:48	47.45875	-122.3111	57.43	57.40445	-2.284989	28.35	0	99	0	4	-1.217155	10.46132	66.43402	
13:44:50	47.45875	-122.3111	57.43	57.40786	-1.959647	28.35	0	99	0	4	-1.162688	10.33086	67.15157	
13:44:52	47.45875	-122.3111	57.43	57.41095	-1.664248	28.35	0	99	0	4	-1.145858	10.23857	67.74346	
13:44:54	47.45875	-122.3111	57.43	57.41359	-1.432003	28.35	0	99	0	4	-1.149806	10.14982	68.26388	
13:44:55	47.45875	-122.3111	57.43	57.41588	-1.211477	28.35	0	99	0	4	-1.161427	10.03987	68.78726	
13:44:57	47.45875	-122.3111	57.43	57.41785	-1.037265	28.35	0	99	0	4	-1.186591	9.961863	69.20939	
13:44:59	47.45875	-122.3111	57.43	57.41953	-0.8781047	28.35	0	99	0	4	-1.219636	9.893462	69.55438	
13:45:00	47.45875	-122.3111	57.43	57.42093	-0.7586247	28.35	0	99	0	4	-1.256134	9.807981	69.87976	
13:45:02	47.45875	-122.3111	57.43	57.42216	-0.6419846	28.35	0	99	0	4	-1.292307	9.747541	70.13879	
13:45:04	47.45875	-122.3111	57.43	57.4232	-0.5348948	28.35	0	99	0	4	-1.32825	9.694839	70.33983	
13:45:05	47.45875	-122.3111	57.43	57.42406	-0.4744549	28.35	0	99	0	4	-1.363139	9.634172	70.50482	
13:45:07	47.45875	-122.3111	57.43	57.42478	-0.4016971	28.35	0	99	0	4	-1.39258	9.591238	70.63976	
13:45:09	47.45875	-122.3111	57.43	57.42545	-0.3319949	28.35	0	99	0	4	-1.418334	9.555864	70.73982	
13:45:10	47.45875	-122.3111	57.43	57.42603	-0.2708789	28.35	0	99	0	4	-1.441123	9.512764	70.8025	
