Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
00:47:52	0	0	0	0.6420726	-722.0714	0	3	34	0	50	0	0	64.47241	
00:47:53	0	0	0	0.2245933	-93.35911	0	3	42	0	50	0.3614945	-0.03677121	148.8524	
00:47:55	0	0	0	0.2880079	432.2072	0	3	49	0	50	0.604903	0.09453111	158.2718	
00:47:57	0	0	0	0.1109755	232.2832	0	3	55	0	50	0.5789959	0.05913804	159.4324	
00:47:58	0	0	0	0.4227638	120.8219	0	3	59	0	50	0.5091365	0.09546144	159.2967	
00:48:00	0	0	0	0.2536583	25.7382	0	3	64	0	50	0.4715816	0.1294266	159.1718	
00:48:02	0	0	0	0.221951	5.066751	0	3	67	0	50	0.537616	0.1468381	159.0758	
00:48:03	0	0	0	0.6499994	34.31322	0	3	70	0	50	0.6156372	0.2021011	159.711	
00:48:05	0	0	0	0.309146	-11.75035	0	3	73	0	50	0.6447313	0.03025515	159.5429	
00:48:07	0	0	0	0.3540647	16.8211	0	3	76	0	50	0.5942947	0.1335551	160.3325	
00:48:08	0	0	0	0.4676825	4.328156	0	3	78	0	50	0.5811109	0.08681169	161.2582	
00:48:10	0	0	0	0.0502032	-27.93881	0	3	80	0	50	0.5804628	0.09426653	161.8765	
00:48:12	0	0	0	0.1981705	11.65922	0	3	81	0	50	0.596616	0.1182314	162.2458	
00:48:13	0	0	0	0.2695119	4.934177	0	3	83	0	50	0.6107407	0.05730859	162.3844	
00:48:15	0	0	0	-0.03699183	-19.73688	0	3	84	0	50	0.5909773	0.01986147	162.4373	
00:48:17	0	0	0	0.06605685	4.466834	0	3	86	0	50	0.5843517	0.06697231	162.3813	
00:48:18	0	0	0	-0.1585364	8.287932	0	3	87	0	50	0.5665521	0.06813206	162.1895	
00:48:20	0	0	0	-0.2906501	-24.76437	0	3	88	0	50	0.5892234	0.01592664	162.0403	
00:48:22	0	0	0	-0.01585364	13.22094	0	3	89	0	50	0.5768496	0.1344903	161.8776	
00:48:24	0	0	0	-0.7609749	-32.65395	0	3	90	0	50	0.57629	0.09434432	161.594	
00:48:25	0	0	0	0.09247959	44.61101	0	3	90	0	50	0.5879052	0.0917552	161.4498	
00:48:27	0	0	0	0.2906501	18.57107	0	3	91	0	50	0.5309945	0.0272931	161.2078	
00:48:29	0	0	0	0.1162601	-2.060795	0	3	92	0	50	0.5462773	-0.0465979	160.7676	
00:48:30	0	0	0	0.2245933	2.17868	0	3	92	0	50	0.5598963	-0.0566461	160.4876	
00:48:32	0	0	0	-0.3329265	-38.17025	0	3	93	0	50	0.5764924	-0.03840933	160.3002	
00:48:34	0	0	0	-0.01585364	9.073082	0	3	93	0	50	0.549904	-0.05820577	160.0179	
00:48:35	0	0	0	-0.02113819	9.403589	0	3	94	0	50	0.531797	-0.01079759	159.7632	
00:48:37	0	0	0	-0.07398367	4.322881	0	3	94	0	50	0.5240628	-0.04451007	159.5372	
00:48:39	0	0	0	-0.2325201	-3.748212	0	3	95	0	50	0.5638338	0.001590847	159.3131	
00:48:40	0	0	0	-0.5760157	-4.685989	0	3	95	0	50	0.5332112	0.02465938	159.2418	
00:48:42	0	0	0	-0.3065038	-6.067232	0	3	95	0	50	0.5132532	-0.03451732	159.0787	
00:48:44	0	0	0	-0.3223574	-5.333582	0	3	96	0	50	0.5155985	-0.009062474	158.7847	
00:48:45	0	0	0	-0.2906501	-4.505863	0	3	96	0	50	0.5041146	0.01549386	158.7232	
00:48:47	0	0	0	-0.3329265	-18.80393	0	3	96	0	50	0.4955832	0.03948744	158.5781	
00:48:49	0	0	0	-0.2589428	2.049984	0	3	97	0	50	0.529251	0.05794644	158.4906	
00:48:51	0	0	0	-0.327642	-2.508637	0	3	97	0	50	0.5115655	0.0307416	158.5456	
00:48:52	0	0	0	-0.280081	7.373776	0	3	97	0	50	0.5491887	0.09304567	158.5567	
00:48:54	0	0	0	-0.2483737	5.247458	0	3	97	0	50	0.5747697	0.1680173	158.6718	
00:48:56	0	0	0	-0.4227638	-15.54804	0	3	97	0	50	0.5860118	0.1183504	158.6821	
00:48:57	0	0	0	0.03699183	22.68434	0	3	97	0	50	0.6343786	0.172811	158.7961	
00:48:59	0	0	0	-0.2378047	-2.390282	0	3	98	0	50	0.6466598	0.198821	158.8837	
00:49:01	0	0	0	-0.1849592	13.1329	0	3	98	0	50	0.6444404	0.1520295	158.9527	
00:49:02	0	0	0	-0.1532519	15.35793	0	3	98	0	50	0.6379727	0.1713137	159.1083	
